"gene","log2FoldChange","pvalue","padj","significance","direction"
"Ndn",-3.3411,1.823e-30,1.287e-28,"Downregulated","Down in Tet2"
"Clu",-2.1775,4.132e-06,1.329e-05,"Downregulated","Down in Tet2"
"Slamf1",-2.1377,7.724e-28,4.573e-26,"Downregulated","Down in Tet2"
"Vwf",-1.6099,3.262e-17,8.074e-16,"Downregulated","Down in Tet2"
"Egr1",-1.5313,1.676e-43,2.255e-41,"Downregulated","Down in Tet2"
"Mecom",-1.4876,4.69e-15,8.527e-14,"Downregulated","Down in Tet2"
"Kit",-1.4721,2.441e-30,1.692e-28,"Downregulated","Down in Tet2"
"Cdkn1c",-1.3718,9.52e-11,7.548e-10,"Downregulated","Down in Tet2"
"Ctnna1",-1.0175,1.018e-15,2.047e-14,"Downregulated","Down in Tet2"
"Fgd5",-0.7651,0.04173,0.06782,"NS","Not Significant"
"Cxcl12",-0.686,0.05796,0.09092,"NS","Not Significant"
"G0s2",-0.6306,0.2542,0.3287,"NS","Not Significant"
"Cxcl3",0.6048,0.2601,0.3352,"NS","Not Significant"
"S100a8",-0.5131,0.1216,0.1741,"NS","Not Significant"
"Hoxb5",-0.3826,0.2652,0.3408,"NS","Not Significant"
"Cdkn1b",-0.285,0.1577,0.2179,"NS","Not Significant"
"Ccl4",0.2213,0.4019,0.483,"NS","Not Significant"
"Ccl3",-0.0357,0.8819,0.9105,"NS","Not Significant"
"Rptor",0.0224,0.8331,0.872,"NS","Not Significant"
"S100a9",0.0102,0.9741,0.9811,"NS","Not Significant"
"Isg15",0.961,1.271e-11,1.183e-10,"Significant (|LFC|<1)","Significant (small LFC)"
"Cxcl2",-0.9453,9.019e-06,2.741e-05,"Significant (|LFC|<1)","Significant (small LFC)"
"Ccl5",0.9303,6.224e-09,3.429e-08,"Significant (|LFC|<1)","Significant (small LFC)"
"Ifit1",0.6873,0.0006468,0.001488,"Significant (|LFC|<1)","Significant (small LFC)"
"Ly6a",-0.6202,0.0003379,0.0008102,"Significant (|LFC|<1)","Significant (small LFC)"
"Junb",-0.5936,1.011e-10,7.972e-10,"Significant (|LFC|<1)","Significant (small LFC)"
"Selp",-0.3578,0.02898,0.04889,"Significant (|LFC|<1)","Significant (small LFC)"
"Eif4e",0.2809,0.0001284,0.000328,"Significant (|LFC|<1)","Significant (small LFC)"
"Rps6",-0.2219,0.006147,0.01191,"Significant (|LFC|<1)","Significant (small LFC)"
"Hmgb1",0.1496,0.009836,0.01836,"Significant (|LFC|<1)","Significant (small LFC)"
"Ccl2",1.6503,8.29e-10,5.433e-09,"Upregulated","Up in Tet2"
"Cxcl1",1.6467,0.00487,0.009619,"Upregulated","Up in Tet2"
"Cdkn1a",1.2455,4.509e-33,3.819e-31,"Upregulated","Up in Tet2"
"Cxcl16",1.1432,0.0004334,0.001023,"Upregulated","Up in Tet2"
