"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Eno1b",2185.05714457877,6.05330924180927,0.140752974800778,0,0
"Socs2",10202.5555705203,5.78259702049236,0.113997845598811,0,0
"Sema4a",1903.32231070416,3.92078319468946,0.107778325297396,8.48601292890313e-291,5.17420494984987e-287
"St6galnac2",1752.76243623542,7.34798263849873,0.21576361973428,3.79864088719484e-255,1.7371184777142e-251
"Myl10",4788.47700709257,3.53254483782802,0.106375579505354,5.74657469301646e-243,2.10232688569314e-239
"Mab21l2",1522.80713290308,7.47799598552343,0.229112469801742,1.23609234839071e-233,3.76843353946046e-230
"Igfbp7",1627.00794855114,4.70204333626686,0.152131718318949,7.53427915656499e-211,1.96881477616981e-207
"Cap1",6761.26750429541,1.91264507942656,0.0619380875896006,4.76372553947849e-210,1.08922584460176e-206
"Ncam2",792.0865480209,5.29986790510233,0.17529008518314,5.53573597962774e-202,1.12510758377056e-198
"Mycn",8948.68905212284,1.73926761337799,0.0607685893505013,1.15045035576585e-180,2.10440379076689e-177
"Ttn",1016.5364232418,4.58414564355244,0.160866339551577,1.0992376487995e-179,1.82793227925823e-176
"Gcnt2",14455.8272527571,-2.86111133074797,0.10044236547699,2.63824744751754e-179,4.02156852583257e-176
"Mmrn1",5732.32428323933,-3.97039280367309,0.140839116465219,9.7768242786528e-176,1.37567438234705e-172
"Adgrl4",22764.921191117,-2.19116683043185,0.0796184234844917,2.12071782907998e-167,2.77086932353793e-164
"Rbm45",918.010948222999,3.47504896552268,0.130493036845501,3.29885030360283e-157,4.02283798356687e-154
"Mgst2",1013.15164422259,3.09831729608063,0.117331082419071,1.40949226602123e-154,1.61140203312877e-151
"Nov",2478.49335185189,10.2463164981535,0.411318556543922,3.35296440888558e-135,3.60778970396088e-132
"Hlf",5821.878795169,-3.01469377022653,0.124142812569777,4.24462998822234e-131,4.31348731914239e-128
"Pim2",6577.71129478767,1.83538114605917,0.0756444776519294,1.14667084338357e-130,1.10394226669328e-127
"Reps1",10533.5551372564,1.4569516064852,0.0610922797542465,3.94051056201635e-126,3.60399096002015e-123
"Car1",2981.71872982195,-3.14895738822349,0.136472200521767,1.17169048748973e-118,1.02059820938867e-115
"BC064078",2568.01472244934,2.60453881919321,0.113891861274347,1.22773767421911e-116,1.02080806985527e-113
"Ckap4",4812.76985365382,1.38357662846961,0.0625138961422751,5.83622684022466e-109,4.64157658092997e-106
"Mtmr9",3689.97204133934,2.2544760694901,0.103071948348917,2.35813910456364e-107,1.79729502086159e-104
"Gata2",6458.85608820089,-1.68996310697921,0.0791733802294506,1.4065645671154e-101,1.029155162467e-98
"Muc6",502.366535202473,6.35461904397856,0.300806324531685,1.34700337838383e-99,9.47668684515271e-97
"Mab21l1",418.050980655949,5.00013510107968,0.237281943119521,1.60206834805915e-99,1.07431554769287e-96
"Tmem87a",1115.93149377334,2.47315232487806,0.117277359925037,1.64448039226986e-99,1.07431554769287e-96
"Xist",4977.69716428842,12.3443086772713,0.591641400790193,1.59471510817221e-94,1.00588030202366e-91
"Serinc3",95042.5869833866,-1.03984766380783,0.0509555256763899,8.77252579777983e-93,5.34890139643295e-90
"Sparc",403.528151015983,4.20001117683768,0.208375636424994,2.60430251004894e-91,1.53670650044565e-88
"Tgfbr3",1214.23464629574,-2.2209302074244,0.110097207042088,3.8023573756273e-91,2.17352253484296e-88
"Mrvi1",2125.41138252314,4.07723684144432,0.202866992829515,4.59525903324766e-91,2.54716600715655e-88
"Sfi1",5235.08217886217,1.65982465339843,0.0830686638006057,2.22143220125105e-89,1.19513052427307e-86
"Hyou1",3904.26272410509,1.62300201871564,0.0820727448770476,1.3938177525964e-87,7.28448980871241e-85
"Themis",860.620298931447,4.82336906129708,0.256206041615033,3.01472630719284e-80,1.53181593364365e-77
"Gm8615",501.843167957419,7.31595351922065,0.387181645732728,1.50370478277023e-79,7.43399132065756e-77
"Adgre1",489.307829040108,5.29246957433395,0.282637623550082,2.03989204209074e-79,9.79316478062059e-77
"Lta4h",19764.1632621476,1.37618753549431,0.0731274100223305,2.08798068250712e-79,9.79316478062059e-77
"Cp",474.860316188546,7.04524798763437,0.377055494130754,9.70333750873925e-78,4.43733624274646e-75
"Agtrap",3119.6383098328,-1.64943715841571,0.0892021762913624,7.85598032642536e-77,3.50491688124323e-74
"Supt16",8123.41035584952,1.74909237031488,0.0962970572981266,1.94241262310751e-74,8.45966945282916e-72
"Apoe",5207.63463021598,-1.75653712947328,0.096660615017887,2.24082166660201e-74,9.5323511454614e-72
"Stap2",441.326082262708,3.88232651369665,0.215252310554368,1.05681400237198e-73,4.39346402986097e-71
"Satb1",5306.81997139432,-1.61009754208534,0.0895467650140276,9.07950039488239e-73,3.69071602718197e-70
"Ifitm1",33206.0507013914,2.25511816007052,0.126119743825514,2.22663990164052e-72,8.8542819740888e-70
"Mpl",10158.4325365419,-2.02935068158728,0.113506683114057,4.11887393868041e-72,1.60303068268813e-69
"Fhl1",677.852275818204,-3.46526006452797,0.194703366187205,8.68119497441799e-72,3.30825871816779e-69
"Ccnd1",550.036998404695,-2.62095071655362,0.147802863451721,3.53705387427437e-71,1.32040386669851e-68
"Slc17a8",683.447599020151,5.09229035154972,0.289540093573188,8.5695793933952e-71,3.1350949252797e-68
"Trim47",2446.42458122102,-2.64117671455384,0.150012987535481,3.77327083691834e-70,1.35334647350804e-67
"Pdzk1ip1",1779.85079218561,-2.80360307615935,0.159675321862453,7.76695496593448e-70,2.73217577378603e-67
"Gch1",1353.569317845,-2.29366938390881,0.130908915421064,1.88648462104936e-69,6.51086352608205e-67
"Trpc6",1000.37503534907,-2.88132175773126,0.165276111571949,6.94521450209629e-69,2.35262710504343e-66
"Peg13",4319.17552612683,-1.82939375761,0.105560927437696,7.65921405372534e-68,2.54731533583171e-65
"BC002163",580.723304038791,3.03557392207772,0.178504979391043,6.77748355989755e-66,2.21381659424368e-63
"Irf6",899.37736388159,-3.05411755725602,0.179801410323125,1.38855520681867e-65,4.45604418300477e-63
"Fxyd1",339.688508802017,3.34777535139968,0.199538108473105,4.40663867184354e-64,1.38976266526486e-61
"Prss57",2589.11265473359,1.57647307386929,0.0937055511272882,4.96875041260166e-64,1.54048106012389e-61
"Stk32c",385.980696878753,7.54843698572121,0.446583223605711,1.08106141166654e-63,3.29579589036738e-61
"Prnp",2393.75474017749,2.38826411778764,0.146203199040684,8.06805718754075e-61,2.41935905040156e-58
"Sstr2",877.481031292416,-3.00545190291918,0.184259330128928,1.02658952442769e-60,3.02877025497278e-58
"Sdc1",811.341461507634,-2.78424611044214,0.170678670945084,1.2617820736926e-60,3.66357423682302e-58
"Angpt1",13502.4898029462,-1.55095755028043,0.0954295737951194,6.70807843014573e-60,1.91725266631603e-57
"Txnip",24453.7810666648,-1.35983496220363,0.083783119162379,1.23290851139112e-59,3.46959422928714e-57
"Car2",37984.5431367365,-1.25671061968651,0.0773648867152801,3.1316046272925e-59,8.67928967309613e-57
"S1pr1",611.472598296563,-2.83073488902842,0.177587599969177,4.52751731527019e-58,1.23607980195406e-55
"Pmaip1",1044.50439360611,2.74170864205614,0.172864417292246,1.46280032143191e-57,3.93493286465184e-55
"Clec2i",1441.62087952226,2.17387514568214,0.13783365291545,8.91780363949036e-57,2.364122669182e-54
"Ptgs1",2221.9191954109,-2.3497006164875,0.149418555441619,1.95419780876129e-56,5.10659804540879e-54
"Slc16a11",452.279870133449,-4.87574620879734,0.311614404607672,2.37252198698101e-56,6.11241861772629e-54
"Enah",270.0641969745,5.52944277379892,0.351580720280615,2.79196186410097e-56,7.09313422474096e-54
"Phgdh",27622.230734784,0.798706101616817,0.0507105516424549,4.88751516695655e-56,1.2246907867667e-53
"Dusp6",11380.1387143737,-1.872807066871,0.119038954668162,7.66306548679824e-56,1.89422694438532e-53
"Aldh1a1",2139.0906127928,-2.54284072158401,0.163523703368872,2.4959504404802e-55,6.08745672763518e-53
"Hmga2",925.648809462085,1.91713105413655,0.123141606464602,2.65825898802841e-55,6.39800965908101e-53
"Meis1",12101.2980212511,-1.25740034676794,0.0811854814718204,1.86858523072661e-54,4.43898195330534e-52
"Epb4.1l4b",6996.48816511593,1.78508782681045,0.116020108565912,4.8640687272939e-54,1.1406864764059e-51
"Plxnc1",2733.67444200834,-1.67899542257915,0.109209873476463,7.4277523883455e-54,1.71985375553944e-51
"Eya2",3002.30926370042,-1.37522561159862,0.0902548688910791,1.79738688113621e-53,4.10972510371795e-51
"Prtn3",10916.4474967345,1.33229287578419,0.0877797965529321,2.04234167608762e-52,4.61216221469071e-50
"Hmgn2",18994.5240549855,-1.2349983077388,0.0824841206187336,6.25692569010668e-52,1.39575225272477e-49
"Baiap3",727.725943399148,2.30575060383202,0.153637053907836,1.09322771540082e-51,2.4093158277243e-49
"Shisa8",1026.90079247901,-2.58832188527527,0.172511291813367,1.24658204140862e-51,2.71458079779124e-49
"Ifna4",449.123107024801,4.48931145302112,0.300432561581526,1.39108487941701e-51,2.99361466050541e-49
"Prkg1",512.669201309607,-2.62454390956606,0.175282754001506,2.06867429699479e-51,4.40002212100334e-49
"Nfic",3065.34316152627,-1.26227086491315,0.0840297605839487,2.35893890201869e-51,4.95973682709493e-49
"Cish",3913.58724736359,1.8531591596484,0.123784195862658,3.03617868521725e-51,6.31111142159021e-49
"Stk17b",3517.35969328153,-1.39430150430579,0.0931460063189563,4.83831605780453e-51,9.94409857633263e-49
"Nrg1",359.886894893661,5.20517579646286,0.353104824984775,1.17627010562139e-50,2.39070364133626e-48
"Itsn1",2602.62684873668,-1.77619899671879,0.11939263725203,1.3722520377785e-50,2.75837739286201e-48
"Cdkn2c",2488.74219492036,1.43722183308901,0.0969789825898302,3.79459466264092e-50,7.54464408358998e-48
"Myct1",2551.57567713212,-2.05511845734693,0.139206197405442,5.6557221130468e-50,1.11241364399841e-47
"Smad7",1132.52181346869,-1.51820906681957,0.103009910086052,1.29980412284437e-49,2.52936351224141e-47
"Sult1a1",732.628002037265,-2.83912210562265,0.193496228672394,1.45378564894689e-49,2.79922600953016e-47
"Def8",12219.8658195668,-1.26485589276825,0.0857955336095334,1.5810014714492e-49,3.01246655372382e-47
"Csgalnact1",2329.52018532073,-1.47060165861301,0.0999684044238619,2.08671806461399e-49,3.93507699359991e-47
"AA465934",194.836025817367,5.48044872157991,0.374581443537942,2.69779499863242e-49,5.03551695050859e-47
"Ddx4",465.947265176551,-4.02119884535157,0.275006835905907,2.95964180735765e-49,5.46846140809961e-47
"Cecr2",250.018652545088,5.9171339626955,0.406598973256959,1.44729508247687e-48,2.64739216486669e-46
"Coro2a",16745.301871823,1.10677780348472,0.0763907359906732,7.41991016812665e-48,1.34381184945914e-45
"Pvt1",690.69910205439,2.2375084281194,0.155349188838102,7.91555764643525e-48,1.41952333792739e-45
"Sdpr",991.819376734737,-3.85725345633507,0.268586577110677,9.93333573854718e-48,1.76408327504374e-45
"Nrxn1",1864.28040809657,-1.54297683741258,0.107084927346916,1.55306573172353e-47,2.7316036889122e-45
"Apob",914.100587018117,3.10880077597808,0.217051232689417,1.57658389098034e-47,2.74655928893451e-45
"Gem",2427.66895915617,-2.41907865466627,0.16842606254498,1.66820875792042e-47,2.87876175470569e-45
"Naaa",1591.03969424617,2.49289494719255,0.174037074018138,1.97119165656381e-47,3.36981661512759e-45
"Lck",5419.84216218333,1.49382670963515,0.103951166117448,2.74342726075038e-47,4.64655291237463e-45
"Thy1",216.748225336009,3.54939945203314,0.248245752414445,2.81596619572788e-47,4.72565629837197e-45
"Nceh1",3544.94891890184,-1.54410035580855,0.107575628178565,3.63481242479202e-47,6.04436262493597e-45
"Esam",2364.61349411096,-1.84028556425868,0.128457472286241,4.20061117344748e-47,6.92230446709021e-45
"Tnip3",1491.34756860869,-2.0426275305704,0.142833408820196,5.03698274105498e-47,8.2264721695873e-45
"Epcam",609.625856857559,2.3892134098432,0.167935941818975,9.66858627938846e-47,1.56511309931481e-44
"Ctse",3877.53911693414,1.11860935601643,0.0783408249883133,1.51050064880107e-46,2.42369104104115e-44
"Klf10",6643.66309118914,-1.26361882186041,0.0886066057712397,1.75608366711133e-46,2.79324195120004e-44
"Col27a1",205.936492462509,6.61458748133551,0.464057056837821,2.22081332431432e-46,3.50199287313427e-44
"Clnk",1648.65666075155,1.4568397596164,0.102589619347389,3.12755243367586e-46,4.88967428348709e-44
"Ccdc64",754.852066189305,2.92510412005232,0.20729684343337,3.48269863093523e-46,5.39877316585315e-44
"Ifi27",7190.73130978242,1.4006046610171,0.0992127827129252,1.08409628138635e-45,1.66641085538817e-43
"Cacna1e",204.807347015299,4.585003005534,0.326473027349778,1.21815716726238e-45,1.85687757529695e-43
"Cd48",16096.0411946047,1.64805724890338,0.117108431524997,1.60583313090605e-45,2.41279037860399e-43
"Prkd2",3176.35302146741,-1.27160617543959,0.0901517227287906,1.60923040777218e-45,2.41279037860399e-43
"Rsu1",8083.44284348258,0.853288032405706,0.0604109460561279,1.87193177305876e-45,2.78385170673097e-43
"Lipo1",506.401375123391,-2.41373133425954,0.172214040858952,2.26121426425552e-45,3.33565575175499e-43
"Plbd1",2175.6083536385,2.88908801271702,0.206570563350631,3.56066926080507e-45,5.21054096949171e-43
"Gstcd",889.601177270486,1.57641688509185,0.112621023940175,4.88903380580312e-45,7.09763542664687e-43
"Podxl",934.570971827238,2.19496950581099,0.157516192491552,6.48897008374539e-45,9.34616069069848e-43
"Aaed1",1259.28893674019,-1.63008620146347,0.116695453025872,7.96391872697279e-45,1.13809376057646e-42
"Osm",2450.00010621505,1.87797257431625,0.134945708468114,1.14424683831202e-44,1.62252427646538e-42
"Cox4i2",274.408560835154,4.1083068533116,0.298406161348169,2.56455064206529e-44,3.60852002651218e-42
"Sdsl",1777.44496502981,-1.54742093108327,0.111559585615112,3.34417936428216e-44,4.66959762835491e-42
"Ush2a",222.171130964465,7.2572767389176,0.518736779018443,4.23443606304409e-44,5.86790185342443e-42
"Efcc1",1527.72096774047,-1.99109872976903,0.144083492807648,4.84701549365022e-44,6.66628627141728e-42
"Bcl11a",3556.73379873613,-1.06137038028521,0.0766827220969921,7.99083314219241e-44,1.09080835699241e-41
"Apol7b",220.304596626923,7.23874752613968,0.521696370379599,1.43851032013681e-43,1.94912820562538e-41
"Egr1",83977.4088501546,-1.53125884805514,0.111098763189735,1.67628709646129e-43,2.25460614474043e-41
"Lmo2",27583.7652929134,-1.1180425619255,0.0811885661369213,2.01532850083978e-43,2.69083130929644e-41
"Cd6",499.993688785175,2.11546391080582,0.154464185970149,2.16843799002157e-43,2.87428026909236e-41
"Fabp5",3689.55424092313,1.74836644193832,0.1275483797163,2.2753035506454e-43,2.99423399628818e-41
"Bdh1",531.869913559851,2.42048809829505,0.177356741418505,2.98091744098073e-43,3.89478155931568e-41
"Gng11",826.114114174587,-2.3996970576215,0.175749739936117,3.27441433599057e-43,4.24791397403827e-41
"2010111I01Rik",3409.71258445204,1.06676326637114,0.077815003552021,4.81853545874453e-43,6.20708807122218e-41
"Tnfrsf14",371.609294652874,3.20710560771522,0.236687863547142,8.6831928024821e-43,1.11072001918184e-40
"Scin",1281.8138976698,2.9859691576871,0.22226112874351,3.62020092007946e-42,4.5986607798676e-40
"Ddx3y",1485.15155657257,-15.9684614883776,3.4892840781832,3.9413620362047e-42,4.97209616319009e-40
"Igfals",216.196017141399,5.50371034383397,0.408073458635474,4.33965291511025e-42,5.43705007693128e-40
"Pink1",6340.37553877613,-1.13273598011168,0.0836969902632036,5.11132987587991e-42,6.36030245507451e-40
"Anxa2",6133.41087185621,0.967335661451858,0.0715156779795045,6.51976700518996e-42,8.05807959857667e-40
"Mdga1",2976.11760018551,-1.52609447752546,0.11325111476271,8.08042516400061e-42,9.91994208724155e-40
"Slc18a2",3314.17173959047,-1.58569175063169,0.118064518870026,1.33760452560234e-41,1.63116413215454e-39
"Dnah7b",194.624302518827,6.89902594583183,0.511564974579938,1.37417016852858e-41,1.66465700150496e-39
"Gm5801",183.717321618766,4.53800027994626,0.341147930099785,1.67109797947542e-41,2.01103448951082e-39
"Rnase6",1139.5912769845,-1.84271097506773,0.137861029916407,2.48501702292031e-41,2.9709759074025e-39
"Siglec1",198.968485072877,6.93852546366339,0.51564504067076,2.66245706597455e-41,3.16244575654588e-39
"Paip1",1044.64203698442,1.92100783528203,0.14398593799463,3.0370697444565e-41,3.58413417842569e-39
"Ppt1",10810.9994217563,0.717813742396346,0.0537111217308909,7.4075772692752e-41,8.68585919292192e-39
"Atp6v0e2",195.536167062353,5.60646540771485,0.423692802696522,1.10333693222667e-40,1.28549294040066e-38
"Sdc4",337.449210588074,-2.94868639978216,0.223564551342039,1.48013711655162e-40,1.71358659088369e-38
"Gas6",786.604417571424,-2.91836378699522,0.221976109127199,2.76024491627444e-40,3.17549685588e-38
"Camk2b",746.032006530412,2.46857262595108,0.188568934045616,4.91513439218934e-40,5.61922739387046e-38
"Spp1",2086.00815508979,1.87725699343399,0.143052668368658,5.75238065283585e-40,6.53556191935859e-38
"Eif2s3y",1139.35252625481,-15.6167300203097,3.53857813052174,6.86648523501656e-40,7.7531943159829e-38
"Aqp1",1331.86104252661,-2.65642673679606,0.203569645349069,1.05230051161957e-39,1.18090067230338e-37
"Dhx40",1094.45441079645,1.76804038608737,0.135456709128835,1.57363978297294e-39,1.75518407988665e-37
"Csf2rb",3504.68303883272,1.36318290471,0.104533521737379,2.47427849914745e-39,2.73709751736771e-37
"Emilin2",9531.68378610917,3.52340935082902,0.272630280879414,2.48391749334704e-39,2.73709751736771e-37
"Wfdc17",633.151671772265,-2.20807658184181,0.170220533603139,3.5848469945823e-39,3.92658809729937e-37
"Pkd1l2",235.413908730745,4.42410126260759,0.343382930311609,4.55310680714957e-39,4.95746605454642e-37
"Prss16",479.523991817942,2.74972947068095,0.213677400052605,8.07997129462148e-39,8.7454931906045e-37
"Gm4737",184.798167485988,3.70535598497315,0.288509502916702,8.79162783482794e-39,9.45979155027487e-37
"Tsc22d1",15281.0026644264,-0.928468277254483,0.0715107968821257,9.58639292942472e-39,1.02546373956162e-36
"Met",595.903441719974,3.05478071045142,0.238948426415703,2.13701457307324e-38,2.25955321217663e-36
"Sik1",3391.92562184048,-1.84306944479124,0.143337349639319,2.12816099771118e-38,2.25955321217663e-36
"Tfr2",5027.34346888374,-0.990716184929876,0.0767703492713928,2.53365847277033e-38,2.66354487263878e-36
"Gbp2b",467.123893170018,9.46150229128128,0.717177267941152,2.75895094853997e-38,2.88381318575389e-36
"Bcat1",504.834806406791,3.89279628953099,0.306565449880073,3.58302144493533e-38,3.72389933356574e-36
"Ptprf",437.53057077759,2.36692944042948,0.185464840625785,3.79484864728297e-38,3.92177239864973e-36
"Uty",861.037437567371,-15.1611918470755,3.47896919524607,9.45121813795827e-38,9.71245405502993e-36
"Dnah11",275.730860799947,3.12855176808585,0.247571371012852,1.19940994492272e-37,1.2256763526551e-35
"Npm1",35813.7091131449,0.741971310072755,0.0580630001705825,1.5291291864726e-37,1.55393505994204e-35
"Fut8",16400.3158341846,1.00212780191919,0.0786447391817247,2.18674021887008e-37,2.20993657920284e-35
"Basp1",702.862017082904,-1.72077617108923,0.135768168368435,2.33465377647868e-37,2.34645532304109e-35
"8430426J06Rik",152.528126766757,6.29485287222635,0.499778544876387,1.30589449793335e-36,1.2982294650107e-34
"Klrk1",174.365395989497,3.40542260830381,0.273240288791474,1.30031559179904e-36,1.2982294650107e-34
"Fam20a",319.66273448957,3.7420497347965,0.301409233136083,1.35986215339127e-36,1.34457289242341e-34
"Hnf4a",662.508624502897,-3.07715022987659,0.246824041319027,1.60065104651372e-36,1.57414564208758e-34
"Uck2",3289.24560964554,0.918964197103679,0.0730832240085066,1.86508766123464e-36,1.82439483953497e-34
"Nolc1",8051.5826200301,0.808982836151616,0.0643398726543571,2.2146764848306e-36,2.1548330989639e-34
"Gimap3",928.429597316063,2.61648799019723,0.211761036743926,5.73942927251501e-36,5.55479578057379e-34
"Ptrf",811.310764947436,-2.56688205609126,0.207439693095207,6.38776017647587e-36,6.14973206042614e-34
"Gatm",5530.64755704422,1.08502593187488,0.0871496060395127,7.22238500978305e-36,6.91685165439537e-34
"Flt3",19384.9963158382,-1.28849140570651,0.103679891963067,8.57005293733376e-36,8.16476085050569e-34
"Nckap1",696.966136877273,-1.55880688352986,0.126032450975021,1.30004094994889e-35,1.23214243815881e-33
"Fam109b",849.832037023372,-2.02557762247035,0.164303165013425,1.44326167177404e-35,1.36083208763354e-33
"Gnb1",13781.4983811783,0.945262737846748,0.0762037505690275,1.49867574033716e-35,1.40583469960243e-33
"Col16a1",1397.42630280073,-2.53123444344496,0.205882167332907,1.598073842657e-35,1.49142687397356e-33
"Clec1a",605.832072288629,-2.42647995004079,0.1973855154425,1.81869717708363e-35,1.68871110473167e-33
"Myo10",1509.48738364122,2.09409818606901,0.170915887719464,2.9005439726919e-35,2.67963385598385e-33
"Cubn",162.43908026333,3.87966176588147,0.317875274329888,3.38121069622112e-35,3.10799527915964e-33
"BC021614",193.36056174286,4.01400263999817,0.329222966283333,3.61241362191609e-35,3.30252297905778e-33
"Nek6",3967.45159608925,1.03771795641986,0.0841795633167989,3.62894773010395e-35,3.30252297905778e-33
"Eng",4312.68066982535,-1.17697065343652,0.095579405750613,3.79355505867418e-35,3.43523312540931e-33
"Rab6b",322.071219635811,-4.1504594170072,0.340983067545149,4.79396553478242e-35,4.31976441193301e-33
"Ormdl3",2297.65042185567,-1.4431048865509,0.117749102012143,6.0217037722083e-35,5.39946104908011e-33
"Csrp1",6685.21676666365,-0.929741029225575,0.0757268756269672,7.52006351599428e-35,6.7100976504667e-33
"Adam8",353.467712862323,2.91770333572743,0.240801425072655,8.09112321664633e-35,7.1846031980046e-33
"Grb10",786.85300875362,-2.23106185277102,0.183425238534964,9.53394036126733e-35,8.42487135692281e-33
"Tgfbr2",2690.59588247356,-1.4050422963913,0.115258817045824,1.42406555405519e-34,1.25235611128738e-32
"5033406O09Rik",822.138087845651,-2.13661006066815,0.176207608813539,1.60313065965524e-34,1.40308449887147e-32
"Vcan",185.313458541217,6.42272370631078,0.533746977623383,2.70230512120312e-34,2.35383644176416e-32
"Nadk2",3682.22026634069,-0.909467283360851,0.0748251344667995,3.57546135570559e-34,3.09963692505055e-32
"Cd82",3113.97430213866,-1.28968105763421,0.106416259542645,3.74938637976519e-34,3.23508375748419e-32
"Nmd3",5364.50999878325,0.779468246089686,0.064369218047955,6.75650185910825e-34,5.80234422567175e-32
"Trpm3",134.024488424813,4.61238734514739,0.387438728581723,9.46315207524381e-34,8.08878400749344e-32
"Cd27",7430.85740825801,-0.760775992710101,0.0630495471617691,1.16126718774571e-33,9.87995320848583e-32
"Cdkn1a",3110.96507107657,1.24546195489998,0.104556892804733,4.5094592332491e-33,3.81884390252743e-31
"Osbpl6",131.601025593319,4.70241719045653,0.398226620386988,5.12054975345158e-33,4.31636387512149e-31
"Rnf144a",4256.8150208933,-0.885468534305272,0.074226193245298,5.40966371037753e-33,4.53915452248742e-31
"Tinagl1",387.293291602098,-2.89747164427304,0.245944189431645,6.80079024202239e-33,5.68036781310838e-31
"Tram1",12840.1381785353,-0.91202201744445,0.0766000186928143,7.0319742241507e-33,5.8467669321893e-31
"Dock4",144.981272243805,4.83269728144259,0.411574153331952,8.32539716914108e-33,6.89086719538138e-31
"Kdm5d",479.085802951491,-14.2200455877752,3.38328965232571,9.03004636367286e-33,7.44043279659027e-31
"Fam171a1",1501.01976017672,-1.29280983463312,0.109511404846433,1.63028171887862e-32,1.33129969650571e-30
"Gimap4",582.280970624546,1.9306376183133,0.16434363882238,1.62833935548137e-32,1.33129969650571e-30
