"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:1905037","autophagosome organization",128,-0.540575883865426,-2.7262997451833,1e-10,2.60193807975942e-08,2.05119601647842e-08,4027,"tags=50%, list=22%, signal=39%","Rab7/Spg11/Rab1b/Atg7/Mtm1/Ambra1/Dnajc16/Smcr8/Tgtp1/Stx12/Trp53inp2/Snx4/Atg13/Ubxn2a/Atg10/Cln3/Ctsd/Phf23/Atg101/Gabarap/Wipi2/Atg5/Ulk2/Ubqln2/Atg4d/Lrsam1/Atg4c/Traf6/Pik3c2a/Irgm1/Pik3c3/Rb1cc1/Trim32/Atg14/Gabarapl2/Rab33b/Wdr45b/Iigp1/Rab3gap1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Nupr1/Wdr45/Efnb1/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Trp53inp1/Map1lc3b/Rab43/Pink1"
"BP","GO:0000045","autophagosome assembly",121,-0.540303715603729,-2.72299213517438,1e-10,2.60193807975942e-08,2.05119601647842e-08,4027,"tags=50%, list=22%, signal=39%","Rab7/Rab1b/Atg7/Mtm1/Ambra1/Smcr8/Tgtp1/Stx12/Trp53inp2/Snx4/Atg13/Ubxn2a/Atg10/Ctsd/Phf23/Atg101/Gabarap/Wipi2/Atg5/Ulk2/Ubqln2/Atg4d/Lrsam1/Atg4c/Traf6/Irgm1/Pik3c3/Rb1cc1/Trim32/Atg14/Gabarapl2/Rab33b/Wdr45b/Iigp1/Rab3gap1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Nupr1/Wdr45/Efnb1/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Trp53inp1/Map1lc3b/Rab43/Pink1"
"BP","GO:0030218","erythrocyte differentiation",148,-0.458626888822926,-2.39473714191062,1e-10,2.60193807975942e-08,2.05119601647842e-08,3426,"tags=44%, list=19%, signal=36%","Acvr2a/Ehbp1l1/Kat7/Ankrd54/Dyrk3/Rps19/Hif1a/Bap1/Sp3/Zfpm1/Rps6/Fech/Klf2/Klf13/Tcea1/Cebpg/Rhd/Sp1/Maea/Hscb/Abcb10/Stat1/Chmp5/Myb/Ptbp3/Hoxa5/Rhag/Arid4a/Nckap1l/Bcl6/Bpgm/Jak2/Bmp4/Zfp36l1/Smad5/Rcor1/Kmt2e/Cflar/Add1/Sh2b3/Lyn/Fam210b/Ikzf1/Inpp5d/Rac1/Tmod3/Hcls1/Casp3/Slc48a1/Zfp36/Mapk14/Ets1/Zbtb7a/Tal1/Stat3/Sox6/Stat5a/Gfi1b/Gata1/Klf1/Stat5b/Kit/Lmo2/Tgfbr3/Gata2"
"CC","GO:0005581","collagen trimer",67,0.663697822481447,2.35899467954477,1e-10,2.60193807975942e-08,2.05119601647842e-08,1602,"tags=49%, list=9%, signal=45%","Col27a1/Emilin2/Col4a4/Col25a1/Col6a3/Col9a3/Col12a1/Ccbe1/Col4a3/Col26a1/C1qtnf1/Col6a5/Col23a1/Col6a1/Col6a4/Col11a1/Col3a1/Col13a1/C1qtnf6/Sftpa1/Col9a1/Col2a1/Gldn/Col24a1/Col8a1/Fcnb/Col14a1/Col6a6/Col9a2/Col1a1/Col19a1/Col15a1/Col20a1"
"BP","GO:0007033","vacuole organization",224,-0.426752453365635,-2.33666337736796,1e-10,2.60193807975942e-08,2.05119601647842e-08,4852,"tags=56%, list=27%, signal=42%","Atg12/Vps33a/Tfeb/Rab23/Atg4a/Fez2/Atg2b/Ppp3cb/Rab20/Snx18/Acp2/Cln6/Chmp2b/Zkscan3/Lamtor1/Gm4841/Chmp7/Vps4b/Bag3/Atp13a2/Fnip1/Rab7/Spg11/Rab1b/Atg7/Gaa/Mtm1/Vps54/P2rx7/Idua/Ambra1/Dnajc16/Smcr8/Tgtp1/Hspa8/Chmp3/Stx12/Lyst/Gnptab/Trp53inp2/Cln5/Chmp2a/Snx4/Atg13/Ubxn2a/Atg10/Hook1/Cln3/Ctsd/Tmem106b/Phf23/Atg101/Gabarap/Wipi2/Rab14/Abca1/Atg5/Ulk2/Vps11/Ubqln2/Atg4d/Lrsam1/Vps18/Vps4a/Atg4c/Traf6/Cln8/Vps35/Pik3c2a/Irgm1/Pik3c3/Rb1cc1/Coro1a/Tmem175/Ap3b1/Chmp5/Trim32/Chmp1a/Mbtps1/Atg14/Gabarapl2/Flcn/Rab33b/Hexb/Atf2/Lamp2/Wdr45b/Iigp1/Rab3gap1/Mcoln1/Naglu/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Tmem9/Nupr1/Wdr45/Tpp1/Laptm4b/Efnb1/Tfe3/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Arl8b/Lipa/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Creg1/Trp53inp1/Aktip/Npr2/Map1lc3b/Rab43/Laptm5/Pink1"
"BP","GO:0034101","erythrocyte homeostasis",162,-0.446644341133868,-2.32592278376925,1e-10,2.60193807975942e-08,2.05119601647842e-08,2535,"tags=42%, list=14%, signal=36%","Acvr2a/Ehbp1l1/Kat7/Ankrd54/Dyrk3/Rps19/Hif1a/Bap1/Sp3/Zfpm1/Rps6/Fech/Klf2/Klf13/Tcea1/Cebpg/Rhd/Sp1/Maea/Hscb/Abcb10/Stat1/Chmp5/Myb/Ptbp3/Hoxa5/Rhag/Arid4a/Nckap1l/Bcl6/Hmox1/Bpgm/Jak2/Bmp4/Zfp36l1/Smad5/Rcor1/Kmt2e/Cflar/Add1/Sh2b3/Lyn/Fam210b/Ikzf1/Inpp5d/Rac1/Tmod3/Hcls1/Casp3/Slc48a1/Ampd3/Zfp36/Mapk14/Ets1/Cd24a/Zbtb7a/Tal1/Stat3/Sox6/Stat5a/Gfi1b/Gata1/Klf1/Stat5b/Kit/Lmo2/Tgfbr3/Gata2"
"BP","GO:0016236","macroautophagy",296,-0.420544826912446,-2.26889078700153,1e-10,2.60193807975942e-08,2.05119601647842e-08,4368,"tags=47%, list=24%, signal=36%","Gm4841/Chmp7/Vps4b/Bag3/Hspb8/Atp13a2/Tlr2/Bcl2l13/Wdr81/Mapk3/Rab7/Spg11/Rab1b/Atg7/Gaa/Rab2a/Epg5/Vamp8/Calm2/Mtm1/Ambra1/Acbd5/Dnajc16/Tmem74/Tbc1d25/Pdcd6ip/Smcr8/Tgtp1/Nipsnap3b/Hdac10/Chmp3/Stx12/Trp53inp2/Hif1a/Usp30/Armc3/Chmp2a/Nod1/Snx4/Atg13/Prkaa2/Ubxn2a/Sesn3/Tbk1/Atg10/Mul1/Cln3/Ctsd/Sptlc2/Phf23/Atg101/Gabarap/Wipi2/Fundc1/Optn/Atg5/Vti1b/Snap29/Ulk2/Ubqln2/Uvrag/Atg4d/Lrsam1/Vps4a/Zfyve1/Lypla1/Atg4c/Wac/Traf6/Eif2ak1/Vps41/Ubxn6/Pik3c2a/Il4/Irgm1/Pik3c3/Rb1cc1/Vti1a/Chmp5/Trim32/Pex5/Chmp1a/Atg14/Gabarapl2/Pik3r4/Rab2b/Rab33b/Lamp2/Wdr45b/Pafah1b2/Ikbkg/Nbr1/Iigp1/Rab3gap1/Mcoln1/Hmox1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Lgals8/Tecpr1/Irgm2/Rnf41/Ei24/Gnai3/Atg9a/Nupr1/Abi2/Wdr45/Adrb2/Bnip3/Wdfy3/Efnb1/Sirt1/Mfn2/Map1lc3a/Sqstm1/Gm12185/Ogt/Qsox1/Mtmr3/Ulk1/Arl8b/Atg2a/Cttn/Pip4k2a/Ralb/Gabarapl1/Sesn1/Ifi47/Vps39/Tgtp2/Trp53inp1/Bnip3l/Map1lc3b/Rab43/Pink1"
"MF","GO:0022843","voltage-gated monoatomic cation channel activity",111,0.582034049548346,2.23217783256121,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=58%, list=27%, signal=42%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Kcnc2/Grin2a/Cacna1s/Rimbp2/Kcnj15/Kcnj6/Kcna1/Kcnh1/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
"MF","GO:0005244","voltage-gated monoatomic ion channel activity",135,0.555959217109195,2.17016165668432,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=54%, list=27%, signal=40%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Scn1a/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Scn10a/Clcn1/Kcnc2/Grin2b/Ano1/Grin2a/Cacna1s/Rimbp2/Clcnkb/Kcnj15/Kcnj6/Kcna1/Kcnh1/Slc17a3/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Grin3a/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
"MF","GO:0022832","voltage-gated channel activity",136,0.553365745777571,2.159194580656,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=54%, list=27%, signal=40%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Scn1a/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Scn10a/Clcn1/Kcnc2/Grin2b/Ano1/Grin2a/Cacna1s/Rimbp2/Clcnkb/Kcnj15/Kcnj6/Kcna1/Kcnh1/Slc17a3/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Grin3a/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
