"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",191,-0.523359322524037,-2.71288208038073,1e-10,1.25e-09,5.78947368421053e-10,2552,"tags=44%, list=14%, signal=38%","Fosl1/Klf2/Ifih1/Clcf1/Gadd45b/Nfat5/Rel/Il7r/Nr4a3/Csf1/Ier5/Ptpre/Rhob/Smad3/Bcl6/Cebpd/Ninj1/Tnfaip3/Irf1/Atp2b1/Bcl3/Zbtb10/Cxcl2/Maff/Relb/Klf6/Btg2/Ier3/Birc3/Snn/Phlda1/Nr4a2/Zc3h12a/Sgk1/Nfkb2/Cflar/Rcan1/Trib1/Il18/Nfkbie/Mcl1/Cd44/Dusp1/Sqstm1/Tnfaip8/Egr2/Sat1/Tiparp/Junb/Sphk1/Kdm6b/Fosl2/Pnrc1/Marcks/Nr4a1/Ets2/Egr3/Zfp36/Dennd5a/Phlda2/Fosb/Rela/Dusp4/Fos/Stat5a/Mxd1/Dusp2/Plek/Per1/Plk2/Irs2/Hes1/Slc2a3/Icam1/Efna1/Pde4b/Sik1/Tsc22d1/Sdc4/Egr1/Klf10/Gem/Gch1/Ccnd1"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",183,-0.486525238936768,-2.51044158410921,1e-10,1.25e-09,5.78947368421053e-10,3122,"tags=40%, list=17%, signal=34%","Kel/Ccdc28a/Pigq/Abcb6/Tmem9b/Riok3/Fbxo9/Ccnd3/Fech/Optn/Aldh6a1/Rad23a/Mxi1/Cpox/Eif2ak1/Tcea1/Rhd/Tmcc2/Ypel5/Dcaf11/Agpat4/Rhag/Lamp2/Trak2/Bpgm/Sidt2/Ezh1/Btrc/Btg2/Ctsb/Ermap/Minpp1/Cast/Tfdp2/Kdm7a/Rbm38/Gypa/Rnf19a/Icam4/Add1/Khnyn/Nek7/Xk/Lrp10/Clcn3/Foxj2/Adipor1/H1f0/Cat/Urod/Nr3c1/Dcun1d1/Epor/Smox/Nfe2/Ncoa4/Klf3/Mkrn1/Isca1/Gypc/Tal1/Bnip3l/Ell2/Gata1/Vezf1/Sdcbp/Blvrb/Abcg2/Klf1/Sec14l1/Lmo2/Car2/Pdzk1ip1/Car1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",52,-0.575108861415947,-2.41954713730787,8.92372964691499e-08,7.43644137242916e-07,3.44424653038824e-07,2877,"tags=44%, list=16%, signal=37%","Sptbn1/Id3/Tgfbr1/Apc/Ncor2/Ctnnb1/Hipk2/Wwtr1/Smad3/Bmpr2/Rhoa/Fnta/Ski/Smad1/Hdac1/Skil/Junb/Cdkn1c/Furin/Smurf2/Eng/Klf10/Smad7"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",153,-0.448480027157447,-2.30876192302934,1e-10,1.25e-09,5.78947368421053e-10,2046,"tags=32%, list=11%, signal=29%","Emp1/Hgf/Rhob/Mgmt/Bgn/Tnfsf10/Rnasel/Cd38/Hmox1/Irf1/Btg2/Ier3/Clu/Casp7/Birc3/Crebbp/Cflar/Add1/Rock1/Il18/Mcl1/Cd44/Wee1/Pea15a/Sqstm1/H1f0/Sat1/Anxa1/Plcb2/Ddit3/Casp3/Madd/Egr3/Mmp2/Lmna/Rela/Ank/Casp2/Timp2/Bnip3l/Gstm2/Ifngr1/Krt18/Smad7/Txnip/Gch1/Ccnd1/Satb1/Tgfbr3"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",92,-0.469764878681724,-2.22396126954113,4.27985853203452e-08,4.27985853203452e-07,1.98225026746862e-07,3438,"tags=46%, list=19%, signal=37%","Stx12/Golga4/Cln5/Stam/Vamp4/Ergic3/Yipf6/Rab14/Rer1/Abca1/Gosr2/Igf2r/Ap2m1/Rab22a/Arfgef1/Ap3b1/Rab5a/Tmx1/Atp6v1h/Bet1/Ap2b1/Arfip1/Ap1g1/Lamp2/Galc/Arcn1/Tom1l1/Mapk1/Rps6ka3/Napg/Bnip3/Adam10/Clcn3/Snap23/Atp7a/Scamp1/Ocrl/Cd63/Vamp3/Cav2/Sgms1/Krt18"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",184,-0.412882311018141,-2.14129722979959,1e-10,1.25e-09,5.78947368421053e-10,2099,"tags=27%, list=11%, signal=24%","Vdr/Ier5/Ptpre/Tax1bp3/Cyfip2/Xpc/Mxd4/Hmox1/Ninj1/Zfp36l1/Ccng1/Klk8/Traf4/Tob1/Ei24/Btg2/Ier3/Trib3/Nupr1/Prkab1/Vwa5a/Blcap/Mknk2/Notch1/Pitpnc1/Rchy1/Ephx1/Sat1/Stom/Cdkn2aip/Sphk1/Ddit3/Sesn1/Prmt2/Rrad/Osgin1/Ldhb/Abhd4/Fos/Mxd1/Gm2a/Plk2/Ndrg1/Ctsf/Cd81/Procr/Cd82/Tsc22d1/Txnip/Sdc1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",193,0.446228908106448,1.81424335437154,2.25653828043956e-07,1.61181305745683e-06,7.46523942401059e-07,7709,"tags=66%, list=42%, signal=38%","Cdkn2c/Nolc1/Cdkn1a/Nop56/Tfrc/Lyar/Pa2g4/Smc4/Mthfd2/Aurkb/Cdc20/Ak2/Tubb5/Cdca8/Cdca3/Kpna2/Exosc8/Dlgap5/Pold2/Spag5/Cks1b/Tipin/Mybl2/Hells/Ranbp1/Rrm2/Hmmr/Plk1/Rad51ap1/Myc/Ccne1/Cdk1/Plk4/Cks2/Nasp/Trip13/Anp32e/Tacc3/Srsf2/Ssrp1/Nme1/Top2a/Rnaseh2a/Ctps/Cenpm/Nap1l1/Mlh1/Mre11a/Aurka/Ezh2/Dek/Brca2/Nbn/Shmt1/Gins3/Racgap1/Birc5/Spc24/Lmnb1/Pola2/Kif2c/Ccnb2/Kif4/Kif18b/Timeless/Cdc25a/Nup107/Prkdc/Lig1/Ran/Tbrg4/Dnmt1/Rpa2/Tubg1/Depdc1a/Usp1/Bub1b/Eif2s1/Dut/Rfc1/Pnn/Nup153/Atad2/Ube2t/Espl1/Ccp110/Gins1/Kif22/Psmc3ip/Cenpe/Wdr90/Pms2/Mcm4/Mki67/Ncapd2/Gspt1/Melk/Cit/Mcm5/Ipo7/Cdk4/Tk1/Paics/Ube2s/Ung/Prim2/Cse1l/Orc6/Suv39h1/Dscc1/Psip1/Hnrnpd/Cdc25b/Rfc3/Pold1/Phf5a/Orc2/Mcm7/Pole/Mcm3/Brca1/Rad1/Prps1/Mcm6/Smc6/Smc3/Rad50"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",155,0.44321095460424,1.76840088617144,7.37655985394443e-06,4.0980888077469e-05,1.89806218464067e-05,5189,"tags=46%, list=28%, signal=33%","Ryr2/Tg/Rgs11/Ifng/Chst2/Pkp1/Ifi44l/Lfng/Dcc/Pdcd1/Slc6a3/Ryr1/Abcb11/Il12b/Kcnq2/Nos1/Htr1d/Itih3/Col2a1/Cacna1f/Ptgfr/Tenm2/Scn10a/Capn9/Myh7/Hc/Krt4/Nphs1/Gp2/Akr1b8/P2ry4/Gdnf/Tas2r108/Cdh16/Pax3/Upk3b/Grid2/Zbtb16/Alox12b/Sptbn2/Arhgdig/Epha5/Tgm1/Tcl1/Ccna1/Tex15/Myot/Bmpr1b/Ugt2b1/Nr6a1/Mefv/Klk7/Egf/Cldn8/Cpb1/Serpina10/Fgf16/Slc38a3/Cacng1/Celsr2/Calcb/Kcne2/Cd207/Slc6a14/Tshb/Ambn/Gprc5c/Brdt/Krt13/Kcnmb1/Arpp21"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",197,0.434568583096027,1.76782603989258,1.50403398382508e-06,9.40021239890676e-06,4.35378258475681e-06,8299,"tags=68%, list=45%, signal=38%","Npm1/Nolc1/Gnl3/Srm/Hspd1/Snrpa1/Prpf31/Nop56/Ruvbl2/Hsp90ab1/Pa2g4/Kars/Cdc20/Ap3s1/Eif2s2/Rsl1d1/Kpna2/Srpk1/Pold2/Nhp2/Ranbp1/Tfdp1/Set/Cct3/Ssb/Ccna2/Serbp1/Myc/Ssbp1/Snrpd3/Psmd7/Phb2/Hspe1/Srsf2/C1qbp/Hdgf/Nme1/Eprs/Ctps/Nap1l1/Cct5/Rrp9/Cox5a/Srsf7/Snrpd1/Tcp1/Fam120a/Dek/Phb/Ddx21/Exosc7/Ddx18/Uba2/Rfc4/Eif4a1/Cyc1/Cct2/Impdh2/Eif3b/Cct7/G3bp1/U2af1/Psmc4/Eif3d/Ran/Eif4e/Usp1/Rpl6/Tyms/Eif2s1/Rrm1/Pabpc4/Cdc45/Canx/Dut/Tardbp/Hnrnpa1/Ncbp1/Ptges3/Hddc2/Erh/Pgk1/Fbl/Ldha/Trim28/Mcm4/Psmc6/Rpl34/Gspt1/Nop16/Mcm5/Psma7/Got2/Cdk4/Hnrnpu/Psmd3/Hnrnpr/Vdac1/Lsm7/Hnrnpa2b1/Cops5/Snrpa/Mrps18b/Psmd1/Hnrnpd/Mrpl9/Apex1/Srsf3/Tomm70a/Xpot/Orc2/Mcm7/Cad/Smarcc1/Mcm6/Abce1/Bub3/Ndufab1/Pwp1/Clns1a/Snrpd2/Lsm2/Psmd14/Syncrip/Rpl18/Rnps1/Ilf2/Aimp2/Snrpb2/Pole3/Txnl4a/Mad2l1/Eef1b2/Ywhae"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.48072023622469,1.69468353617719,0.00137266651197256,0.00428958284991424,0.00198675416206554,6702,"tags=71%, list=37%, signal=45%","Npm1/Nolc1/Gnl3/Srm/Hspd1/Nop56/Pa2g4/Tmem97/Nop2/Farsa/Mphosph10/Noc4l/Plk1/Supv3l1/Myc/Pes1/Plk4/Slc19a1/Ndufaf4/Hspe1/Map3k6/Rrp9/Ppan/Phb/Mybbp1a/Mrto4/Ddx18/Wdr43/Wdr74/Tbrg4/Tcof1/Exosc5/Pprc1/Mcm4/Slc29a2/Nop16/Bysl/Mcm5/Cdk4/Grwd1/Ung"
