"ID","Description","setSize","NES","pvalue","p.adjust","Significant_GSEA"
"mmu04659","Th17 cell differentiation",100,-1.93540740738791,2.80461930390191e-05,0.000674896542821562,"Yes"
"mmu04010","MAPK signaling pathway",271,-1.49472169080274,6.46703553900989e-05,0.00112526418378772,"Yes"
"mmu04015","Rap1 signaling pathway",193,-1.61732834192364,0.000108985903966874,0.00172395884456691,"Yes"
"mmu04640","Hematopoietic cell lineage",87,-1.78572083944378,0.000499608878677215,0.00579546299265569,"Yes"
"mmu04014","Ras signaling pathway",206,-1.26150239306807,0.00976230972261625,0.0444028635109341,"Yes"
"mmu04151","PI3K-Akt signaling pathway",327,1.21915299704383,0.0774793388429752,0.196808831513543,"No"
"mmu04020","Calcium signaling pathway",217,1.21855504065036,0.0910041841004184,0.226210400478183,"No"
"mmu04024","cAMP signaling pathway",188,1.11731878435161,0.240425531914894,0.442688280986153,"No"
"mmu04657","IL-17 signaling pathway",77,0.98896708495989,0.48951048951049,0.670667914762403,"No"
"mmu04066","HIF-1 signaling pathway",104,0.973489558147242,0.539249146757679,0.710610144572409,"No"
"mmu04630","JAK-STAT signaling pathway",150,0.975709364943136,0.541125541125541,0.710610144572409,"No"
