"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04140","Autophagy - animal",157,-0.447918537719321,-2.30661905430331,1e-10,3.48e-08,2.38947368421053e-08,3853,"tags=51%, list=23%, signal=40%","67605/26417/19349/26419/12015/74244/100502841/22320/23797/228361/170749/237782/17532/68728/15251/19052/245670/51897/108079/56480/66795/11652/13033/68118/56486/74781/17274/71648/11793/67474/29869/71732/78610/235040/228545/217695/74769/242557/22034/218035/225326/12421/26420/100504663/93739/75669/19338/105787/16784/66840/13039/17966/66615/69635/18747/18749/26413/13030/18708/18607/245860/20130/54636/12176/12633/72145/66734/18412/218460/74302/22241/19211/18761/97998/329015/57436/269338/16001/67443/384783"
"mmu00140","Steroid hormone biosynthesis",66,0.628671602863823,2.29024971321708,1.60178973206488e-09,2.22507635068618e-07,1.52780499578271e-07,4165,"tags=70%, list=25%, signal=53%","13070/243881/15487/100041449/13112/72303/13122/231396/13090/69888/13094/112417/100043108/380997/241452/13114/107141/13101/13113/394434/433247/13098/13074/13075/100727/72094/13099/22238/56388/13105/13088/27400/13095/71773/13076/337924/622127/13106/545288/226105/223706/110115/72082/404195/208665/13097"
"mmu04974","Protein digestion and absorption",91,0.578847339154878,2.18219992183301,1.91816926783291e-09,2.22507635068618e-07,1.52780499578271e-07,2540,"tags=52%, list=15%, signal=44%","373864/20510/12829/77018/12835/12841/12816/69700/12828/140709/665033/13717/237759/70008/12833/20514/68553/12814/12825/12817/105243/12839/12824/56643/71355/12837/12818/245026/17288/12840/12842/12823/17287/30962/12819/73368/74338/215332/110893/232975/66473/67821/12836/20532/328059/56373/50934"
"mmu00830","Retinol metabolism",80,0.591032346814462,2.19065322861091,1.10885225514388e-08,9.64701461975178e-07,6.62393320835951e-07,4169,"tags=74%, list=25%, signal=56%","11761/71724/103142/243881/100041449/13112/213043/72303/19892/231396/233005/13090/69888/13094/13118/63857/13119/112417/666168/100043108/79235/435802/241452/13114/107141/13085/13113/394434/100040843/433247/13098/19683/100727/277753/72094/13099/22238/19378/107605/56388/13088/27400/13095/242285/71773/13076/337924/13087/622127/230639/13086/545288/226105/26876/72082/71872/404195/13097/20148"
"mmu04068","FoxO signaling pathway",123,-0.430301310593991,-2.18536249978322,3.47116863049577e-08,2.41593336682506e-06,1.65885321920535e-06,2736,"tags=41%, list=16%, signal=35%","56486/216439/14784/17246/21812/74769/16598/17873/20662/12795/16197/109880/26420/93739/105787/328572/17127/20663/22035/12053/108099/26413/18708/18607/12914/19079/20393/12176/13611/93759/74551/12359/17128/19211/58231/19374/67731/57436/19651/16337/12452/26416/12581/16001/20848/56458/20620/384783/21813/13609/12443"
"mmu04611","Platelet activation",120,-0.426960436863222,-2.15928512771909,1.60573101232299e-07,8.78670614197048e-06,6.03321928078433e-06,1679,"tags=35%, list=10%, signal=32%","14674/21390/11513/11848/21894/18747/18749/18798/18783/26413/14682/14724/14679/14678/18708/19046/19877/17096/14723/11515/16822/11461/108101/20619/20963/18441/18796/16416/14065/67938/26416/20866/18436/22371/54368/30955/215449/16399/14729/21391/19091/19224"
"mmu04820","Cytoskeleton in muscle cells",212,0.44106980228015,1.80342028828667,1.76744089062625e-07,8.78670614197048e-06,6.03321928078433e-06,3293,"tags=41%, list=20%, signal=33%","433182/22138/373864/13003/16772/17996/109620/242702/12829/14115/14119/109272/12835/12841/17880/241226/17884/17930/319480/109676/12828/665033/21828/13717/68794/229665/16773/12833/17882/544791/68802/68553/12814/17888/12825/15530/107765/12839/13527/17879/71355/13506/17883/17885/70549/241431/245026/140781/16404/12840/12842/100504518/320910/20391/24053/24131/232975/668940/13346/77579/50876/381485/667772/14268/433766/20743/67821/11459/109700/14118/74103/320502/21956/12343/13179/59006/58916/59011/14200/11468/22437/213119/21827/27222/16421/56642"
"mmu05033","Nicotine addiction",35,0.675930693434406,2.18166187248659,4.89283602827998e-07,2.12838367230179e-05,1.46141286634152e-05,3674,"tags=63%, list=22%, signal=49%","216227/14799/14406/14401/14812/14802/11440/14811/14394/11444/140919/14407/110886/216643/328699/14402/11438/14400/14399/14405/242443/12287"
"mmu04080","Neuroactive ligand-receptor interaction",247,0.417709121754761,1.72367554724324,7.99570365775377e-07,3.09167208099812e-05,2.12283594188316e-05,5467,"tags=57%, list=32%, signal=39%","110637/13610/14799/16846/69071/207911/14608/14803/14807/140498/15552/14406/14805/193034/22095/19220/26361/229214/14401/16644/245526/17200/14812/110834/14802/11440/18166/14811/15139/12311/14599/110835/11517/381489/14394/57385/11444/11447/108071/12061/217674/13035/14654/14804/12921/64095/213527/14407/18815/11539/233571/65086/13492/110886/216643/15562/108073/319239/328699/435206/14402/12425/12209/239336/12922/17201/11438/14400/14806/18168/14289/108043/11516/15566/239845/14399/17171/13490/13488/22045/14405/242425/12267/71897/13489/67405/28078/18610/15563/18390/15874/14309/242443/18155/93896/11552/276742/15559/11542/12062/15564/215854/19111/319229/116903/19773/224065/12266/108069/22094/433292/57249/12273/15560/18619/15557/12854/18386/19109/231252/15465/14061/12669/58861/387285/11609/11435/19116/21334/14294/18169/67168/13618/19222/16847/237213/56872/319552/14823/17199/14408/227717"
"mmu05205","Proteoglycans in cancer",179,-0.345005757781505,-1.81651573042015,2.40456721610061e-06,8.36789391203014e-05,5.74565008478778e-05,2731,"tags=34%, list=16%, signal=28%","20104/14784/17246/14366/57257/16412/232807/14083/74769/29875/20544/20662/12387/109880/14371/22324/15234/19878/13039/16402/20663/12402/11848/18747/18749/327826/19303/26413/13207/18708/18607/20130/19046/19877/12505/12540/11461/14368/14370/19353/16416/14388/15163/12367/13043/12512/108058/18803/26416/17698/17390/16419/12390/13982/16001/20848/21898/20971/20969/12443"
