"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","167/2071","393/11172",0.424936386768448,2.29231738917291,12.4413568099135,3.89167191860043e-29,6.89607478761479e-27,4.04706764433844e-27,"11516/11517/11539/11540/11542/11549/11548/11552/11606/11607/11609/26361/12061/12062/12209/12266/12267/12273/116903/12311/54598/12425/12669/12671/11435/110902/110834/11438/110835/11440/231252/11444/108043/11447/11448/12801/12854/12921/12922/13035/58861/13488/13489/13490/13492/13618/14061/14289/14294/14309/242425/14394/110886/14399/14400/14401/14402/14405/14406/14407/216643/57249/14408/14409/328699/14599/14600/14652/93896/14654/237213/217674/239845/64095/14608/14799/14802/14803/14804/14805/14806/14807/110637/14811/14812/242443/108069/268934/108071/108072/108073/14823/15139/387285/15465/15552/15557/15558/15559/15560/15562/15563/15564/15566/15874/16644/385643/16846/16847/16867/65086/17171/17199/17200/17201/207911/433292/54615/319239/18166/18168/18169/67405/18386/18390/18436/94045/18441/74191/57385/233571/75552/56872/18610/18619/245526/18815/18155/19109/28078/19111/19116/19204/19220/19222/213527/227717/229214/19773/381489/140498/239336/13609/13610/319229/319552/20606/215854/435206/276742/21334/22045/170732/193034/22094/22095/224065",167
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","118/2071","233/11172",0.506437768240343,2.7319762176635,12.7444938423024,4.06848070065769e-29,6.89607478761479e-27,4.04706764433844e-27,"100504518/11459/11468/229665/11717/109676/11735/107765/56642/98660/232975/27222/11932/67821/12111/12814/12842/71355/373864/12825/12828/12829/12832/53867/12833/12835/68553/665033/245026/12839/12840/12841/13009/76441/13179/13346/13506/109620/13527/13717/433182/14114/14115/14118/14119/14199/14200/68794/54418/14268/15530/109700/213119/319480/16399/16404/241226/104099/16416/16419/16420/320910/16772/16773/24131/16905/93689/320502/109272/233199/17868/68753/17879/77579/17880/544791/71960/667772/17882/17883/17884/17888/140781/668940/17885/17906/17930/242702/58916/59011/59006/68802/17996/74103/18073/18074/380698/30794/20969/20971/20391/20392/24053/20743/21827/21828/70549/50876/50874/21952/21956/22004/381485/433766/22138/13003/22437/241431",118
NA,NA,"mmu04082","Neuroactive ligand signaling","100/2071","196/11172",0.510204081632653,2.75229357798165,11.8060433614628,3.72300446580415e-25,4.20699504635868e-23,2.46893980363854e-23,"11423/432530/210044/104110/224129/11514/11539/11540/11542/11549/11548/11552/12647/12669/12671/110834/11438/11440/11444/13488/13489/13490/13492/242425/14394/110886/14399/14400/14401/14402/14405/14406/14407/216643/57249/14408/14409/328699/14654/14681/14695/66066/14706/14699/14799/14802/14805/14806/14807/110637/14811/14812/242443/108069/268934/108071/108072/108073/14823/15465/15552/15557/15558/15559/15560/15561/57014/15562/15563/15564/15566/17201/18386/18390/18436/94045/18441/74191/57385/233571/18610/18619/18155/18752/140919/216227/214084/20510/20511/20512/242607/63993/232333/243616/14411/20538/13162/15567/104245/21334",100
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","66/2071","102/11172",0.647058823529412,3.49055585536967,12.0535251851279,8.56994483295503e-25,7.26302824592939e-23,4.262419930075e-23,"26876/11668/19378/56847/26358/11761/213043/71724/71872/245532/63857/13076/232174/13085/233005/13086/13087/13088/13090/243881/13094/13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/13112/13113/13114/56388/337924/622127/100041449/277753/13118/13119/230639/435802/666168/100040843/241452/27400/79235/107605/98711/19683/103142/19892/242285/394433/394435/394434/72094/71773/100727/231396/112417/22238",66
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","60/2071","89/11172",0.674157303370786,3.63673848056901,11.9131034257974,4.55231870598806e-24,3.08647208265991e-22,1.81134365354051e-22,"12491/12643/12842/12824/12828/12829/12833/12835/68553/665033/245026/12839/12840/12841/13406/14268/231470/329872/242022/14723/14724/14729/54368/15530/15891/109700/213119/319480/16399/16404/241226/104099/16416/16419/16420/320910/16772/16773/16774/16777/16780/16782/23928/94111/114249/19699/20969/20971/20750/64051/64176/75209/21827/21828/21923/329278/21960/81877/22370/22371",60
NA,NA,"mmu04519","Cadherin signaling","157/2071","414/11172",0.379227053140097,2.04573859859061,10.3430603098045,2.93385442872099e-21,1.65762775222736e-19,9.72804363207485e-20,"67653/242894/75723/56332/12006/320873/215654/12554/12556/12557/320865/12558/22295/381409/12560/12561/12562/12563/241201/12564/12565/12614/53883/107934/56506/12385/12386/216033/76441/233651/13346/13506/13507/13510/225256/211924/13512/16769/109620/13649/13800/13866/14107/245827/270120/329628/14260/14366/14370/14394/110886/14399/14400/14401/14402/14405/14406/14407/216643/57249/14408/14409/328699/406223/268482/16663/16664/16666/16668/16669/16681/66809/94179/70810/320864/70843/16670/16672/237934/16682/406221/16687/56735/223915/109052/77055/332131/223917/114566/100126226/16680/53622/107656/50523/16842/237091/218454/269788/26414/17295/432516/17912/338367/231646/17921/50884/75599/18526/245578/53601/11994/219228/73173/279653/54216/18530/93872/93884/93886/93887/93891/93877/93722/93711/93713/93715/93701/93705/18595/18772/19049/243548/66922/20187/20266/72821/399548/20271/21414/21676/21679/13409/192140/233424/74424/209760/72088/83767/22410/22414/22415/22416/22417/22419/22421/211652/97064",157
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","62/2071","108/11172",0.574074074074074,3.09683995922528,10.4450998668293,1.81232916773743e-19,8.77685125518558e-18,5.15083026620113e-18,"70008/98660/232975/27222/11932/67821/13706/242711/12814/12816/12817/12818/12819/107581/12821/12823/12842/73368/69700/237759/71355/77018/140709/373864/213945/12824/12825/12828/12829/12832/53867/12833/12835/68553/665033/245026/12836/12837/12839/12840/12841/76703/56373/66473/13717/11936/100040591/17287/17288/17380/72461/56643/20510/215332/20532/74338/328059/30962/110891/110893/105243/170745",62
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","54/2071","89/11172",0.606741573033708,3.27306463251211,10.2699809860533,1.21783855886322e-18,5.16059089318291e-17,3.02857220559407e-17,"11686/11685/11688/23801/13088/13090/243881/13094/13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/13106/242546/230459/13110/665095/74519/71519/277753/13118/13119/230639/435802/666168/100040843/13850/14598/54486/16993/26565/69836/18778/18782/26971/237625/232889/78390/329502/271844/18784/665270/19223/19224/21391",54
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","56/2071","95/11172",0.589473684210526,3.17991308546596,10.1784446969527,1.88205922997988e-18,7.08908976625756e-17,4.16034145574501e-17,"232345/109254/12061/12062/12259/667277/50908/317677/12263/12266/12267/625018/12269/12273/12274/230558/110382/12279/13136/13137/12628/50702/12630/12759/56373/12902/14058/109821/74145/14060/14061/14068/14161/110135/15139/16415/16621/16644/385643/17174/17175/18791/18792/18815/19124/19128/268591/11905/18787/18816/21788/21824/278180/22370/22371/22789",56
NA,NA,"mmu04518","Integrin signaling","74/2071","153/11172",0.483660130718954,2.60910235653895,9.55982215289129,3.02148272399308e-17,1.02428264343365e-15,6.01116036668096e-16,"12266/12443/12643/12842/12824/12828/12829/12833/12835/68553/665033/245026/12839/12840/12841/13406/13645/13649/13866/14118/241639/218952/14161/110135/14254/14268/231470/329872/242022/15891/15894/78369/109700/213119/319480/16399/16404/241226/104099/381924/16407/16415/16416/16419/16420/320910/16772/16773/16774/16777/16780/16782/23928/17123/17295/114249/170736/71785/18595/18654/18710/19699/20750/21827/21828/70549/21923/329278/21960/81877/22339/22341/22370/22371",74
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","134/2071","368/11172",0.364130434782609,1.96429996011169,8.97295084313327,1.43988655131031e-16,4.34317124815313e-15,2.54885690389983e-15,"11600/11601/11602/11911/12064/12443/12575/12643/12669/12842/12824/12828/12829/12833/12835/68553/665033/245026/12839/12840/12841/208647/208677/231991/12978/13636/13640/13645/13649/13856/13857/13866/13869/13874/14103/14164/14165/80903/14172/14173/80857/14174/14176/14180/14183/14186/14254/14255/14268/14378/14573/14599/14600/14695/66066/14706/14699/232493/15891/242519/242517/15965/15967/15968/15969/15970/15972/15977/16183/16184/16189/16193/16197/16334/16367/109700/213119/319480/16399/16404/241226/104099/16416/16419/16420/320910/16590/17311/18048/16772/16773/16774/16777/16780/16782/23928/65086/14924/17295/18053/15370/18212/18413/18414/18534/71785/18595/18654/18710/104709/72930/269643/19109/28078/19111/19116/19699/19713/27219/20750/21432/21687/21802/21827/21828/21898/21923/329278/21960/81877/22339/22341/22370/22371",134
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","114/2071","294/11172",0.387755102040816,2.09174311926605,9.04921943535282,1.53740575155863e-16,4.34317124815313e-15,2.54885690389983e-15,"269275/11482/110542/12156/110075/12159/12160/12161/12164/12167/20293/20296/20299/56221/56838/12768/12770/12772/12773/12458/12776/12769/21939/12978/12981/12983/13019/244218/14825/15945/56066/20309/66102/232983/17329/12765/13608/13856/13857/14103/14560/12165/14562/14566/14599/14600/242519/242517/15965/15967/15968/15969/15970/15972/15977/15978/338374/242700/16153/16160/16164/16165/234836/257630/329244/16175/16176/16181/16183/58181/230828/209590/93672/140806/16184/218624/77125/76527/16189/16193/16197/18048/16846/16847/16880/16992/16994/17480/18053/18413/18414/56744/57349/19109/28078/19111/19116/21808/21813/21832/21933/18383/72049/230979/29820/85030/21941/21942/21943/21944/326623/22164/21949/23832",114
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","103/2071","255/11172",0.403921568627451,2.17895304910955,9.08461366776786,1.78187828832766e-16,4.64659030571597e-15,2.72692304853382e-15,"432530/210044/104110/11514/11540/11549/11548/11607/65973/11941/320707/26361/12061/12062/12287/12288/12289/12290/54652/239556/12292/75600/12323/12326/12372/12373/12425/12494/12669/12671/58861/13488/13492/13618/13645/13649/13866/13869/14164/14165/80903/14172/14173/80857/14174/14176/14180/14183/14186/14254/14573/14675/14811/14812/242443/108071/15465/15558/15559/15560/15562/15563/15564/15566/18048/16867/17295/19882/228785/238564/18019/73181/18125/18126/18212/18213/18436/94045/18573/18574/18575/71785/18595/18802/74055/18821/19059/18752/19204/19220/19713/20190/20191/20192/110891/110893/20698/21802/76757/22045/170732/22339/22341",103
"Metabolism","Lipid metabolism","mmu00591","Linoleic acid metabolism","38/2071","55/11172",0.690909090909091,3.72710592160133,9.67121563062657,2.84067132155245e-16,6.87848270004486e-15,4.03674345694295e-15,"13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/13106/242546/230459/13110/665095/74519/13112/13113/13114/56388/337924/622127/100041449/26565/69836/18778/18782/26971/237625/232889/78390/329502/271844/18784/665270",38
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","67/2071","137/11172",0.489051094890511,2.63818388803322,9.20297586785858,4.7536908625598e-16,1.07433413493851e-14,6.30489524928984e-15,"224129/11686/11685/11688/12287/12288/12289/54652/12292/13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/13101/380997/223706/13105/242546/230459/13110/665095/74519/81906/13195/14400/14401/14402/14681/14695/66066/14706/14699/15552/15557/15558/15559/15560/15561/57014/15562/15563/15564/15566/16522/16524/140492/17161/109731/232889/78390/329502/271844/18752/19224/214084/15567/21990/216343",67
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","50/2071","101/11172",0.495049504950495,2.67054228358616,8.04481853636905,1.4038306313642e-12,2.79940343548508e-11,1.64287299893395e-11,"208665/13070/110115/13074/13075/13076/13088/13090/243881/13094/13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/13101/380997/223706/13105/13106/13112/13113/13114/56388/337924/622127/100041449/13122/241452/15485/15487/27400/15494/394433/394435/394434/72094/71773/100727/231396/112417/22238",50
"Organismal Systems","Digestive system","mmu04976","Bile secretion","50/2071","101/11172",0.495049504950495,2.67054228358616,8.04481853636905,1.4038306313642e-12,2.79940343548508e-11,1.64287299893395e-11,"27413/18671/18670/12780/26357/27409/230161/209186/432530/210044/104110/224129/11514/11826/11833/98660/232975/27222/11932/67821/12012/12349/13122/13849/11936/140492/320024/20186/319229/20494/20517/19879/26459/54403/232156/20537/105243/28250/108096/28254/28253/394433/394435/394434/72094/71773/100727/231396/112417/22238",50
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","58/2071","130/11172",0.446153846153846,2.40677487649965,7.6959799325492,6.01870571594621e-12,1.13352290983654e-10,6.65225368604581e-11,"432530/210044/104110/224129/11514/11685/11419/11418/171209/12061/12062/75600/12323/13095/13097/13098/13099/107141/404195/72082/72303/69888/545288/433247/100043108/226105/242546/230459/13110/665095/74519/277753/13118/13119/230639/435802/666168/100040843/15465/15558/15559/15560/16176/18048/16644/385643/26414/18710/232889/78390/329502/271844/18752/277328/171382/193034/246788/63873",58
NA,NA,"mmu04081","Hormone signaling","82/2071","220/11172",0.372727272727273,2.01067556296914,7.22217331213058,3.27047530113144e-11,5.83521645833452e-10,3.42448660340079e-10,"67653/432530/210044/104110/224129/11514/11549/11548/11552/11606/11607/11609/110542/26361/12167/116903/12311/12425/12921/12922/13370/13488/13489/13490/13492/13856/13857/13983/14309/14599/14600/14652/14675/14681/14695/66066/14706/14699/14917/84506/387285/15203/244698/15874/16334/16367/384783/16416/16846/16847/16867/17199/17200/17201/207911/17480/18125/18158/230103/18162/18386/18390/18610/18619/18710/18155/19091/19092/19109/28078/19111/19116/54409/20502/53945/58807/20606/21832/22045/170732/22094/22095",82
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","48/2071","103/11172",0.466019417475728,2.51393960986907,7.36316425304822,6.11517724392491e-11,1.03652254284527e-09,6.08299210053583e-10,"432530/210044/104110/224129/11514/11606/12288/12289/54652/12292/12293/12294/12297/12299/54377/140723/13346/13527/109700/213119/319480/16399/16404/241226/104099/16416/16419/16420/320910/16772/16773/16905/17868/17888/140781/17906/18125/18821/20191/20391/20392/24053/110891/110893/21808/21956/22004/22138",48
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","70/2071","179/11172",0.391061452513966,2.10957921172672,7.13868520361703,7.49842075263845e-11,1.16113473349683e-09,6.8142979236423e-10,"54725/94332/12483/60533/21939/12511/12519/12525/12526/12558/12560/12561/12562/12737/58187/64945/57255/60363/56492/12738/74987/12740/12741/54420/12805/21367/53321/66797/69524/16456/14663/14963/14969/381091/14990/14997/15002/15006/15894/207683/241226/104099/16415/320910/67374/83964/241568/17123/17528/17968/320840/269116/192167/18189/18191/80883/171171/18566/19266/19268/19274/20969/20971/20339/20612/386750/245446/100043314/13003/242122",70
