"Description","Count","p.adjust","Direction"
"Calcium signaling pathway",87,5.08121205636785e-12,"Upregulated in Tet2"
"PI3K-Akt signaling pathway",111,2.45210443578544e-11,"Upregulated in Tet2"
"cAMP signaling pathway",70,4.85307691677186e-08,"Upregulated in Tet2"
"JAK-STAT signaling pathway",51,1.65638483768273e-05,"Upregulated in Tet2"
"Ras signaling pathway",63,7.42110102938165e-05,"Upregulated in Tet2"
"Rap1 signaling pathway",52,0.00291774749006981,"Upregulated in Tet2"
"Hematopoietic cell lineage",27,0.00337585745176795,"Upregulated in Tet2"
"MAPK signaling pathway",66,0.00796859746987335,"Upregulated in Tet2"
"HIF-1 signaling pathway",25,0.147760617937174,"Upregulated in Tet2"
"IL-17 signaling pathway",18,0.467836105688801,"Upregulated in Tet2"
"Th17 cell differentiation",16,0.824485911700499,"Upregulated in Tet2"
"Hematopoietic cell lineage",16,1.40922178455805e-06,"Downregulated in Tet2"
"PI3K-Akt signaling pathway",23,0.010893419591489,"Downregulated in Tet2"
"Calcium signaling pathway",16,0.0493822956635867,"Downregulated in Tet2"
"Rap1 signaling pathway",12,0.185585530364487,"Downregulated in Tet2"
"MAPK signaling pathway",15,0.209292390880798,"Downregulated in Tet2"
"Ras signaling pathway",12,0.253571854313503,"Downregulated in Tet2"
"JAK-STAT signaling pathway",9,0.301561224191266,"Downregulated in Tet2"
"Th17 cell differentiation",6,0.369395719651253,"Downregulated in Tet2"
"HIF-1 signaling pathway",5,0.638966214779718,"Downregulated in Tet2"
"cAMP signaling pathway",8,0.709676396274102,"Downregulated in Tet2"
"IL-17 signaling pathway",3,0.839644239238613,"Downregulated in Tet2"
