"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",32,0.69402960498189,1.1483310232378,0.0989010989010989,1,1,4028,"tags=44%, list=22%, signal=34%","Abcc8/Dcx/G6pc2/Pcsk2/Scgn/Iapp/Neurog3/Ins2/Pak3/Syt13/Pcsk1/Gck/Pax4/Pax6"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",155,0.64539942110586,1.09545214697886,0.035964035964036,1,1,4567,"tags=45%, list=25%, signal=34%","Pkp1/Dcc/Il12b/Abcb11/Htr1d/Kcnq2/Ptgfr/Itih3/Scn10a/Krt4/Myh7/Capn9/Hc/Nphs1/Gp2/P2ry4/Akr1b8/Tas2r108/Gdnf/Pax3/Tcl1/Nos1/Grid2/Alox12b/Ccna1/Myot/Bmpr1b/Ugt2b1/Cdh16/Tenm2/Ryr2/Cpb1/Cldn8/Serpina10/Slc38a3/Cacng1/Calcb/Krt13/Slc6a14/Ambn/Upk3b/Ifi44l/Prop1/Col2a1/Kcne2/Ifng/Cd207/Tg/Klk7/Cacna1f/Pax4/Slc6a3/Epha5/Pdcd1/Mefv/Tshb/Fgf16/Kcnmb1/Ryr1/Tex15/Rgs11/Sptbn2/Arhgdig/Pcdhb1/Pde6b/Tgfb2/Nr6a1/Celsr2/Chst2"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",40,0.626467262424743,1.04129775701415,0.396603396603397,1,1,3831,"tags=30%, list=21%, signal=24%","Pkhd1/Scube1/Mal/Shroom2/Atp6v0a4/Srpx/Efna5/Rhcg/Afap1l2/Slc22a12/Thy1/Atp8b1"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",177,0.589728578185201,1.0034789978672,0.487512487512487,1,1,4255,"tags=29%, list=23%, signal=22%","Col6a3/Myh11/Myh4/Myh2/Myh8/Myh1/Myh3/Myh7/Kcnh1/Casq2/Nos1/Des/Sgcg/Cdh13/Tnnt2/Lama2/Pvalb/Fst/Ankrd2/Myoz1/Sgca/Itga7/Tead4/Bdkrb2/Cacng1/Col3a1/Mb/Myom2/Col15a1/Adam12/Ldb3/Chrna1/Gnao1/Fgf2/Igfbp7/Ckmt2/Sod3/Acta1/Casq1/Sparc/Ephb3/Ptgis/Fxyd1/Reep1/Dtna/Sh3bgr/Col1a1/Myl2/Ryr1/Camk2b/Prnp"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",114,0.591372955809232,1.00140961721288,0.507492507492508,1,1,4417,"tags=26%, list=24%, signal=20%","Dcc/Mep1b/Scg3/Pgk2/Sycp1/Theg/Odf1/Dmrt1/Nos1/Npy5r/Ccna1/Il13ra2/Adcyap1/Gad1/Clvs1/Htr5a/Dpep3/Naa11/Snap91/Clgn/Ace/Slc2a5/Adad1/Hoxb1/Grm8/Ldhc/Camk4/Crisp2/She/Adam2"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",31,0.568512048569267,0.940205709390025,0.725,1,1,5351,"tags=48%, list=29%, signal=34%","Vtn/Apoh/Serpina5/Col3a1/Vcan/Kcnj8/Olr1/Col5a2/Stc1/Spp1/S100a4/Pglyrp1/Nrp1/Slco2a1/Vegfa"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",173,0.534103917377195,0.908160161573377,0.951048951048951,1,1,5063,"tags=38%, list=28%, signal=28%","Fbn2/Col6a3/Cdh6/Col11a1/Bdnf/Prrx1/Matn3/Col12a1/Edil3/Lrrc15/Sgcg/Mmp3/Dkk1/Lama2/Lama1/Spock1/Col3a1/Nnmt/Mmp1b/Fbln2/Col7a1/Vcan/Acta2/Dcn/Lamc2/Adam12/Pcolce2/Cdh2/Fgf2/Eln/Tnc/Sparc/Cald1/Col5a2/Thy1/Serpine1/Dab2/Fermt2/Abi3bp/Lama3/Col1a1/Fbln5/Col5a3/Fn1/Slit2/Il6/Loxl2/Slit3/Loxl1/Rgs4/Aplp1/Spp1/Pdlim4/Lrp1/Mest/Htra1/Pmp22/Cxcl1/Fbln1/Dpysl3/Sfrp4/Id2/Cadm1/Tnfrsf11b/Fbn1/Matn2"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",102,0.523326722372068,0.885326058398941,0.937062937062937,1,1,2700,"tags=13%, list=15%, signal=11%","Krt19/Klk1b4/Klk1b24/Klk1b8/Azgp1/Bmpr1b/Klk1b27/Klk1b22/Klk1b1/Mak/Klk1b21/Klk1b9/Klk1b3"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",179,0.520181854235686,0.885287126714336,0.978021978021978,1,1,4865,"tags=30%, list=27%, signal=22%","Prkg2/Serpina3m/Pigr/Scg3/Prrx1/Wnt7a/Ush1c/Anxa10/Snap25/Serpina3k/Ano1/Tnnt2/Hkdc1/Mmp10/Tph1/Cfhr1/Ereg/Cidea/Aldh1a2/Serpina3n/Tspan1/Il33/Snap91/Sparcl1/Plat/Ace/Pcp4/Cfh/Reln/Nr1h4/Plau/Csf2/Adam8/Gpnmb/Galnt3/Kif5c/Ptprr/C3ar1/Cpe/Plek2/Bmp2/F13a1/Spon1/Aldh1a3/Mpzl2/Fgf9/Spp1/Scg5/Nap1l2/Mycn/Akap12/Tspan7/Irf8/Il1b"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",97,0.506766979161296,0.856173429646084,0.968031968031968,1,1,5467,"tags=20%, list=30%, signal=14%","Abcc8/Alb/Serpina6/Sema3c/Fabp6/Ugt2b1/Crabp2/Dio1/Cel/Nr1i2/Esr2/Rxrg/Cacna1b/Abcb9/Cadm1/Ephx2/Abcd2/Aldh1a7/Fdps"
