"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu00830","Retinol metabolism",80,0.793818770663054,1.32928823907876,2.40128060397716e-08,8.35645650184052e-06,7.91158767415633e-06,2427,"tags=69%, list=14%, signal=59%","243881/100041449/13112/72303/19892/233005/13090/231396/69888/13118/13094/435802/666168/112417/100040843/13119/79235/277753/13114/107141/100043108/394434/13113/13098/433247/19683/72094/100727/13099/213043/242285/107605/56388/13095/226105/22238/27400/13088/71773/13076/337924/230639/13087/622127/13086/545288/13085/72082/404195/71724/13097/19378/241452/11761/26876"
"mmu00140","Steroid hormone biosynthesis",66,0.811917507404064,1.35715545866233,4.9306278628445e-08,8.57929248134943e-06,8.12256063721226e-06,2214,"tags=67%, list=13%, signal=58%","243881/100041449/15487/13112/72303/13122/13090/231396/69888/380997/13101/13094/112417/13074/13114/107141/100043108/394434/13075/13105/13113/13098/433247/72094/100727/13099/56388/13095/226105/22238/27400/13088/71773/13076/337924/13106/223706/622127/110115/545288/72082/404195/13097/241452"
"mmu04080","Neuroactive ligand-receptor interaction",247,0.691991437640216,1.18191495620395,1.80571918262668e-06,0.000209463425184695,0.000198312317249878,3655,"tags=53%, list=22%, signal=42%","16846/14799/14803/14608/14807/15552/26361/19220/22095/245526/14406/14805/193034/14401/229214/14812/17200/16644/110834/14802/11440/18166/14599/14811/15139/12311/57385/110835/11517/381489/14394/108071/11447/12061/12921/217674/213527/14654/14804/65086/108073/110886/13492/18168/12209/14407/319239/435206/216643/328699/14400/12922/15562/12425/11438/239336/14402/17201/14806/13488/11516/17171/108043/14289/13490/14399/22045/15563/18610/14405/13489/28078/14309/215854/93896/15874/19111/12062/276742/116903/19773/224065/108069/15560/140498/19109/15557/11609/110637/14294/15564/18169/237213/319552/239845/11435/67405/242443/433292/18619/57249/207911/11542/319229/15566/18386/18155/16847/231252/17199/18815/19116/242425/233571/12273/56872/15465/64095/11539/14408/11552/13618/12854/12267/14823/21334/22094/13035/12266/387285"
"mmu00591","Linoleic acid metabolism",42,0.800695799656324,1.32840334937746,4.96714943970179e-05,0.00345713601003245,0.0032730900518456,2483,"tags=76%, list=15%, signal=65%","329502/100041449/13112/72303/69888/18782/13114/107141/100043108/78390/13113/13098/433247/13099/242546/56388/13095/226105/665270/337924/230459/13106/622127/26565/545288/26971/72082/404195/13097/69836/271844/18784"
"mmu04082","Neuroactive ligand signaling",163,0.694921416091119,1.18227645156472,4.79877331544161e-05,0.00345713601003245,0.0032730900518456,3541,"tags=48%, list=21%, signal=39%","14799/243616/14807/15552/14406/14805/14401/14812/20538/15567/232333/110834/14802/11440/14811/57385/14394/108071/12647/104245/140919/14654/108073/110886/13492/432530/14407/216643/328699/14400/15562/11438/14402/17201/14806/13488/57014/63993/13490/14399/15563/14699/18610/14405/13489/108069/11514/242607/15560/15557/224129/14706/110637/15564/14681/216227/18752/242443/20511/18619/57249/14411/15561/11542/15566/18386/18155/20512/20510/242425/14695/233571/13162/15465/11539/14408/11552/14823/21334"
"mmu04974","Protein digestion and absorption",91,0.727387904556831,1.22195585404838,0.000106601865652085,0.00618290820782091,0.00585375157001799,3788,"tags=63%, list=23%, signal=49%","12835/69700/140709/665033/70008/12814/12839/56643/71355/12837/17288/30962/17287/12833/110893/74338/12816/66473/67821/328059/12818/245026/77018/17380/242711/76703/110891/12825/13706/373864/12836/105243/56373/12819/12817/12840/68553/27222/20532/12828/13717/215332/12824/12829/12832/20510/170745/12841/12842/213945/53867/12823/12821/98660/237759/100040591/73368"
"mmu05204","Chemical carcinogenesis - DNA adducts",61,0.748024492753509,1.24900205714786,0.000252911442712927,0.00977924245156652,0.00925862942329196,2162,"tags=49%, list=13%, signal=43%","100041449/13112/72303/231396/69888/75886/112417/13114/107141/100043108/394434/13113/13098/433247/72094/100727/13099/56388/13095/226105/22238/71773/13076/337924/13106/622127/545288/72082/404195/13097"
"mmu04726","Serotonergic synapse",118,0.707104595561735,1.19580890187136,0.0002346841032123,0.00977924245156652,0.00925862942329196,3305,"tags=46%, list=20%, signal=37%","15552/329502/14401/15567/72303/216343/69888/380997/13101/107141/100043108/78390/11686/13105/13098/433247/14400/15562/14402/13099/242546/57014/13095/226105/15563/14699/230459/223706/16524/21990/545288/72082/404195/140492/13097/15560/15557/224129/14706/15564/271844/14681/18752/15561/15566/12292/12288/665095/109731/54652/11688/14695/81906/11685"
"mmu04750","Inflammatory mediator regulation of TRP channels",116,0.704875015567632,1.19159397854562,0.000230127274912064,0.00977924245156652,0.00925862942329196,2648,"tags=34%, list=16%, signal=29%","329502/193034/11418/246788/171382/16644/72303/18048/69888/12061/13118/435802/666168/100040843/13119/277328/277753/107141/100043108/78390/432530/13098/433247/13099/242546/13095/226105/230459/230639/545288/12062/72082/404195/11514/13097/15560/26414/224129/271844/18752"
"mmu04382","Cornified envelope formation",149,0.686181397248827,1.16525668702239,0.000344048562434444,0.0119728899727186,0.0113354947412611,3592,"tags=44%, list=21%, signal=35%","18772/74591/109052/16680/16682/225256/66809/77055/16669/223915/406223/16681/16666/56735/228677/211924/94179/11686/114566/332131/13510/20759/74987/16664/320864/56492/107656/237934/16672/16687/70061/268482/70810/12365/13512/386463/54420/70843/16663/406221/16769/16670/223917/12836/16782/269643/109620/99681/15109/433091/12828/21818/12738/72930/12829/23801/320997/18553/545975/16774/18601/100126226/12821/12737/242726"
