"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04020","Calcium signaling pathway",217,0.620518425887828,1.05864819434499,0.120879120879121,0.808960270498732,0.765894025003337,4110,"tags=38%, list=24%, signal=29%","18212/19059/26361/19220/18213/14812/239556/14811/76757/13869/18048/108071/13649/12061/110893/14573/238564/12373/18125/13492/432530/15562/12425/13488/18573/74055/22045/14165/15563/14176/20191/14164/80857/110891/12062/14172/14183/11514/18126/15560/15564/14186/320707/18752/242443/14173/228785/11941/12290/15566/12372/12292/12288/18595/54652/73181/19882/14254/17295/19713/15465/18802/12289/13618/80903/20192/20190/12323/12326/210044/13866/21802/170732/15559/94045/12669/12287/14180/11548/58861/11549/18821"
"mmu04024","cAMP signaling pathway",188,0.616952671739042,1.05085739166044,0.176823176823177,1,0.946763460375076,3976,"tags=32%, list=24%, signal=25%","14799/15552/12789/22095/14812/17200/14802/12064/18166/14811/11517/30952/12921/217674/13492/432530/67821/12922/15562/13488/11516/74055/67653/12790/13489/20191/14309/84112/12788/330953/11514/15557/26414/224129/15245/78977/27222/320707/242443/19013/271639/11941/233649/14634/12292/12288/54652/56188/242425/64082/11539/12289/22094/98660/12323/12326/210044/231991/54611/12669"
"mmu04151","PI3K-Akt signaling pathway",327,0.59451441648783,1.01641140301353,0.363636363636364,1,0.946763460375076,4075,"tags=31%, list=24%, signal=24%","12835/21960/18212/21828/665033/16367/12839/242519/22370/27219/12064/14599/13869/18048/14378/320910/13649/12833/14573/21432/18534/15970/65086/15972/245026/16773/242517/14165/14699/13856/28078/14176/16772/14164/16404/80857/11602/19111/13874/14172/14183/16334/15969/19109/329278/319480/18053/14706/23928/16782/241226/269643/14186/12840/232493/68553/13640/12828/14173/21923/15967/16777/12824/72930/12829/17311/19699/15968/18595/14924/16183/19116/14695/16184/14254/16774/109700/17295/213119/19713/12841/12842/14268/80903/16193/11601/81877/14103/15977/13866/18414/21802/18654/231991/104709/12669/15891/14180/18413/20750/21827"
"mmu04014","Ras signaling pathway",206,0.55281763409587,0.942491528853613,0.855144855144855,1,0.946763460375076,3939,"tags=25%, list=23%, signal=20%","18212/329502/14812/12064/14811/18048/13649/18782/78390/74055/14165/67653/14699/14176/14164/26565/80857/26971/11602/14172/14183/16334/19417/26414/18053/14706/69836/14186/271844/18784/19419/13640/18752/14173/18481/216148/15566/20418/17311/18595/14695/14254/17295/18778/80903/11601/237625/14103/21802/18654/85031/333050"
"mmu04630","JAK-STAT signaling pathway",150,0.548272826272411,0.931365359154304,0.873126873126873,1,0.946763460375076,4049,"tags=28%, list=24%, signal=21%","16846/16160/242519/14599/13649/15970/230828/15972/58181/16165/213043/244218/329244/242517/13856/28078/19111/93672/71724/15969/19109/11761/216233/338374/15967/21832/15978/16847/15968/18595/16183/209590/19116/16184/12981/16193/15977/18414/71872/18413/16153/12700"
"mmu04010","MAPK signaling pathway",271,0.530760923668473,0.906350040702753,0.973026973026973,1,0.946763460375076,4078,"tags=22%, list=24%, signal=17%","18212/19059/12297/329502/12294/239556/12064/13869/18048/13649/14573/78390/54377/14165/140723/14176/14164/80857/11602/13874/14172/12299/12293/14183/16334/19417/26414/19259/18053/14186/271844/19419/13640/18752/14173/12290/71751/12292/12288/17311/18595/54652/14254/17295/19713/19279/12289/80903/11601/14103/13866/17762/21802/18654/12475/21808/12287/14180/16175"
"mmu04015","Rap1 signaling pathway",193,0.51175636060339,0.871586863552048,0.985014985014985,1,0.946763460375076,3756,"tags=20%, list=22%, signal=16%","14812/14811/18048/13649/65086/16415/432530/74055/14165/67653/13489/14176/14164/80857/11602/14172/14183/11514/16334/224129/18053/14186/13800/14681/13640/18752/14173/238130/93742/17311/70549/12927/18595/14924/14254/17295/80903/11601/210044"
"mmu04657","IL-17 signaling pathway",77,0.51399345491564,0.859688021820132,0.947052947052947,1,0.946763460375076,4309,"tags=22%, list=26%, signal=16%","17392/140806/257630/83995/83996/26414/225724/20293/15978/74180/12981/16819/16193/234836/20296/14825/16176"
"mmu04066","HIF-1 signaling pathway",104,0.503882725084245,0.849865538174401,0.976023976023976,1,0.946763460375076,3785,"tags=19%, list=22%, signal=15%","18663/13649/216019/13856/11602/16334/18126/433182/230163/18752/15978/18787/14254/106557/16833/13058/16193/12323/11601/13866"
"mmu04640","Hematopoietic cell lineage",87,0.377226006798938,0.63287835188269,1,1,0.946763460375076,5042,"tags=41%, list=30%, signal=29%","17380/13856/12526/13137/21832/17311/12525/16184/109700/12981/12483/16193/12482/12475/12902/14129/233274/16175/12491/16176/12501/12978/22042/16156/381091/16790/12502/14969/12500/12516/15000/12481/16188/14961/333883/16400"
"mmu04659","Th17 cell differentiation",100,0.330009026014691,0.555902599573854,1,1,0.946763460375076,5529,"tags=26%, list=33%, signal=18%","19059/257630/26414/20371/15978/16183/209590/16184/57765/16193/20183/16176/16818/12501/381091/12502/14969/16185/12500/15000/14961/14960/18033/16797/26415/11622"
