"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","167/2071","393/11169",0.424936386768448,2.29170183670536,12.4375416124904,4.01874798751371e-29,7.07184180947359e-27,4.15021922679866e-27,"20606/13609/110637/13610/16867/54598/14799/16846/18436/11540/207911/14608/14803/14807/140498/15552/14406/14805/193034/22095/19220/26361/229214/14401/16644/245526/17200/14812/110834/14802/11440/18166/14811/15139/12311/14599/110835/11517/381489/14394/57385/11444/11447/108071/12061/217674/13035/14654/14804/12921/64095/213527/14407/18815/11539/18441/233571/65086/13492/110886/216643/15562/108073/319239/328699/435206/14402/12425/12209/239336/12922/17201/11438/14400/14806/18168/14289/108043/11516/15566/239845/14399/17171/13490/13488/22045/14600/14405/242425/12267/13489/67405/28078/18610/15563/18390/15874/14309/242443/18155/93896/11552/276742/15559/11542/12062/15564/215854/19111/319229/116903/19773/224065/12266/108069/22094/433292/57249/19204/12273/15560/18619/15557/12854/18386/19109/231252/15465/12671/14061/12669/58861/387285/11609/11435/19116/21334/14652/14294/18169/74191/13618/19222/16847/237213/56872/319552/14823/17199/14408/227717/15558/54615/94045/108072/385643/170732/14409/11606/12801/110902/11549/268934/11548/11448/75552/11607",167
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","118/2071","233/11169",0.506437768240343,2.73124260428604,12.741232089207,4.17217805868648e-29,7.07184180947359e-27,4.15021922679866e-27,"433182/22138/14199/20969/373864/20971/13003/16772/17996/109620/242702/16399/20392/12829/14115/14119/109272/12835/12841/17880/241226/17884/319480/17930/109676/12828/665033/21828/13717/68794/229665/16773/16419/12833/17882/544791/68802/68553/12814/16905/17888/12825/15530/107765/12839/13527/11932/17879/71355/13506/17883/17885/70549/11717/241431/245026/140781/16404/12840/12842/100504518/320910/20391/22004/16416/24053/24131/232975/668940/13346/77579/50876/381485/667772/14268/380698/433766/20743/67821/11459/109700/14118/74103/320502/21956/13179/59006/58916/59011/14200/11468/22437/213119/21827/27222/104099/56642/68753/71960/14114/11735/17868/50874/16420/76441/93689/98660/12111/17906/12832/18073/53867/21952/54418/13009/18074/30794/233199",118
NA,NA,"mmu04082","Neuroactive ligand signaling","100/2071","196/11169",0.510204081632653,2.75155450881463,11.8030375595276,3.80343424419711e-25,4.29788069594273e-23,2.52227744615177e-23,"216227/66066/214084/20510/110637/11514/224129/14799/18436/11540/20511/13162/243616/14807/15552/14406/14805/14401/15567/432530/14812/110834/14802/11440/232333/14811/20538/11423/14394/14411/57385/12647/11444/108071/104245/20512/14681/14654/140919/18752/14407/11539/18441/233571/13492/110886/15561/216643/15562/108073/328699/14402/14706/17201/11438/14400/14806/57014/15566/14399/13490/13488/63993/14699/14405/242425/13489/18610/15563/18390/242443/14695/18155/11552/15559/11542/15564/210044/242607/108069/57249/15560/18619/15557/18386/15465/12671/12669/21334/74191/14823/14408/104110/15558/94045/108072/14409/11549/268934/11548",100
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","66/2071","102/11169",0.647058823529412,3.48961854176726,12.050990012881,8.70529861250588e-25,7.37774057409873e-23,4.32974062569371e-23,"11668/11761/71724/103142/243881/100041449/13112/213043/72303/19892/231396/233005/13090/69888/13094/13118/63857/13119/112417/666168/100043108/79235/435802/241452/13114/107141/13085/13113/394434/100040843/433247/13098/19683/100727/277753/72094/13099/22238/19378/107605/56388/13088/27400/13095/242285/71773/13076/337924/13087/622127/230639/13086/545288/226105/232174/26876/72082/71872/98711/404195/13097/245532/394433/26358/394435/56847",66
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","60/2071","89/11169",0.674157303370786,3.63576191277079,11.910667117268,4.61862179713799e-24,3.13142557845955e-22,1.83772530454543e-22,"20969/20971/20750/16772/14729/16774/16399/16777/231470/12829/12835/16782/329872/12841/54368/241226/319480/21960/22371/12828/665033/21828/329278/16773/16419/12833/242022/68553/15530/12839/19699/12824/21923/245026/16404/22370/12840/12842/13406/320910/64176/12491/16416/14268/109700/94111/64051/23928/75209/114249/14723/12643/213119/21827/104099/14724/16420/81877/15891/16780",60
NA,NA,"mmu04519","Cadherin signaling","157/2071","414/11169",0.379227053140097,2.04518925954695,10.3393845272133,3.01574460874868e-21,1.703895703943e-19,9.99957422900877e-20,"13800/17295/50884/16668/109620/242894/245827/329628/243548/18772/12614/16769/270120/11994/399548/74424/338367/12385/109052/66922/75723/12563/21676/13507/215654/14406/54216/16680/192140/13506/14401/209760/72821/14260/225256/53601/56332/83767/16682/12560/211652/66809/20271/14394/50523/77055/223915/13649/406223/16669/279653/100126226/93886/16666/12558/12556/18595/233424/16681/432516/20266/107934/56735/216033/72088/13346/94179/12386/12565/14407/22416/110886/20187/211924/332131/216643/14370/73173/328699/14402/114566/93877/17912/22421/12554/241201/218454/13510/14400/320864/22419/245578/219228/14399/12564/16664/223917/26414/107656/381409/16672/21414/320865/17921/14405/320873/12006/13512/268482/22415/16842/237934/237091/70810/13409/16687/67653/70843/231646/22410/75599/21679/53883/22295/18530/12562/269788/93884/57249/406221/76441/16670/16663/12561/97064/93711/93701/93713/56506/233651/13866/18526/22414/93887/93722/14408/22417/53622/14366/93872/14409/93891/14107/19049/93715/12557/93705",157
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","62/2071","108/11169",0.574074074074074,3.09600836954772,10.4426922629328,1.837888431867e-19,8.90063112004162e-18,5.22347238530621e-18,"373864/107581/20510/12829/77018/12835/12841/12816/69700/12828/140709/665033/13717/237759/70008/12833/68553/12814/12825/12817/105243/12839/12824/56643/11932/72461/71355/12837/12818/245026/17288/12840/12842/12823/17287/30962/12819/73368/74338/215332/110893/232975/66473/67821/12836/20532/328059/56373/17380/27222/242711/100040591/76703/110891/170745/13706/12821/98660/12832/53867/213945/11936",62
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","54/2071","89/11169",0.606741573033708,3.27218572149371,10.2677133417075,1.23314453547693e-18,5.22544996908349e-17,3.06663575269921e-17,"16993/19224/21391/13110/271844/54486/665270/243881/329502/26565/72303/74519/13090/69888/18782/13094/13118/13119/666168/100043108/435802/107141/11686/100040843/78390/433247/13098/277753/13099/11688/23801/13088/13095/242546/69836/230459/230639/13106/545288/226105/26971/72082/11685/404195/18784/13097/71519/665095/14598/13850/232889/19223/18778/237625",54
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","56/2071","95/11169",0.589473684210526,3.17905918828941,10.1761466198164,1.90629524306955e-18,7.18037874889529e-17,4.21391580046953e-17,"19124/21788/12628/22371/11905/232345/16644/12630/12279/15139/18816/22370/110382/17174/317677/18791/12274/12061/22789/13136/18815/109254/667277/14068/16415/56373/12269/19128/14161/17175/110135/14060/230558/12267/14058/50702/16621/12062/109821/12759/13137/12266/21824/268591/12273/18792/12263/12902/14061/74145/278180/18787/385643/50908/625018/12259",56
NA,NA,"mmu04518","Integrin signaling","74/2071","153/11169",0.483660130718954,2.60840173829068,9.55725274910131,3.06810964844226e-17,1.04008917082193e-15,6.10392340584828e-16,"12443/20750/17295/16772/15894/16407/71785/16774/16399/16777/231470/12829/12835/16782/241639/329872/12841/241226/319480/21960/22371/12828/665033/21828/329278/22339/16773/16419/12833/242022/68553/12839/19699/12824/21923/70549/245026/16404/22370/12840/12842/13406/320910/13649/18595/16416/14268/109700/14118/14254/218952/16415/23928/14161/22341/114249/110135/12643/78369/213119/21827/18654/104099/13645/12266/170736/16420/381924/81877/18710/13866/15891/16780/17123",74
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","134/2071","368/11169",0.364130434782609,1.96377248966053,8.96956202924356,1.47271199803729e-16,4.43201055165e-15,2.60099361671122e-15,"12443/11600/15967/18413/66066/20750/17295/14255/12575/13636/16772/11911/16590/21687/71785/16774/16399/16777/12829/12835/21898/16782/12841/241226/319480/15969/21960/22371/12828/665033/21828/329278/18212/22339/16184/16773/16419/12833/16367/68553/14183/12839/19699/12824/21923/242519/232493/15977/13857/12978/15370/245026/14174/16404/12064/27219/22370/12840/12842/14599/13869/14924/18048/320910/14378/13649/14573/104709/15970/18595/16416/18534/11602/18414/65086/14268/13640/15972/109700/15968/14254/14706/21432/17311/23928/269643/22341/242517/14186/14699/12643/14600/213119/21827/18654/28078/104099/14165/14176/13645/13856/14695/80857/14172/80903/21802/208647/19111/16193/19713/14164/13874/15965/72930/11601/231991/14173/16420/19109/16334/12669/18053/19116/81877/18710/16183/13866/16197/16189/15891/16780/14103/208677/14180",134
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","114/2071","294/11169",0.387755102040816,2.09118142669912,9.04608748197745,1.56885329261947e-16,4.43201055165e-15,2.60099361671122e-15,"17480/15967/18413/230979/12983/21813/14560/56744/12769/12772/15978/15969/16846/269275/16994/16184/15945/16160/72049/56221/326623/242519/14562/21943/15977/13857/12978/23832/12160/21949/14599/18048/12773/16992/110075/15970/230828/12165/20296/18414/16181/56838/15972/140806/16165/77125/15968/58181/244218/20309/20299/21941/22164/12167/257630/242517/12981/329244/14600/13019/28078/21939/110542/13856/12765/338374/19111/16193/218624/20293/11482/17329/15965/12159/12768/85030/16153/12156/12770/19109/93672/12161/18053/13608/21933/21832/209590/19116/29820/56066/66102/18383/16847/16183/16197/16880/16189/21808/14103/76527/14825/232983/12458/14566/12776/12164/16176/21944/21942/234836/16164/16175/57349/242700",114
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","103/2071","255/11169",0.403921568627451,2.17836793819411,9.08163030697174,1.8158702080971e-16,4.73523077342243e-15,2.77894307150082e-15,"12290/12323/17295/20191/71785/12288/65973/19882/74055/16867/11514/18126/18436/11540/18212/22339/18019/20190/19059/14183/18125/18213/11941/54652/19220/26361/239556/12289/432530/14812/14174/20192/18573/76757/14811/12292/13869/18048/320707/13649/20698/108071/14573/110893/12061/12373/18595/18752/238564/12326/18574/13492/15562/12372/12425/14254/18821/15566/13488/22341/14186/22045/18802/14165/15563/14176/13645/242443/80857/110891/14172/15559/12062/80903/12287/15564/21802/75600/18575/19713/210044/14164/19204/15560/14173/12494/228785/15465/12671/73181/12669/58861/14675/13618/13866/104110/15558/94045/170732/14180/11549/11548/11607",103
"Metabolism","Lipid metabolism","mmu00591","Linoleic acid metabolism","38/2071","55/11169",0.690909090909091,3.72610508757298,9.66926644225048,2.86701854965373e-16,6.94228063094724e-15,4.07418425477109e-15,"13110/271844/665270/329502/100041449/13112/26565/72303/74519/69888/18782/100043108/13114/107141/13113/78390/433247/13098/13099/56388/13095/242546/69836/337924/230459/622127/13106/545288/226105/26971/72082/404195/18784/13097/665095/232889/18778/237625",38
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","67/2071","137/11169",0.489051094890511,2.63747546056597,9.20052782610938,4.82046608015742e-16,1.08942533411558e-14,6.3934602747351e-15,"19224/66066/214084/12288/13110/271844/17161/224129/15552/329502/54652/14401/15567/21990/12289/72303/12292/74519/216343/16522/69888/14681/18752/109731/100043108/380997/107141/13101/11686/15561/78390/433247/15562/13098/14402/13099/14706/14400/11688/57014/13105/15566/13095/242546/14699/230459/81906/15563/16524/545288/14695/226105/223706/15559/12287/15564/72082/13195/11685/404195/140492/13097/15560/15557/665095/232889/15558",67
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","50/2071","101/11169",0.495049504950495,2.66982516696865,8.04270056218667,1.4186193095325e-12,2.82889379959716e-11,1.66017987307518e-11,"13070/243881/15487/100041449/13112/72303/13122/231396/13090/69888/13094/112417/100043108/380997/241452/13114/107141/13101/13113/394434/433247/13098/13074/13075/100727/72094/13099/22238/56388/13105/13088/27400/13095/71773/13076/337924/622127/13106/545288/226105/223706/110115/72082/404195/208665/13097/394433/394435/15485/15494",50
"Organismal Systems","Digestive system","mmu04976","Bile secretion","50/2071","101/11169",0.495049504950495,2.66982516696865,8.04270056218667,1.4186193095325e-12,2.82889379959716e-11,1.66017987307518e-11,"12349/320024/11826/26357/11514/224129/27409/27413/105243/54403/11932/12780/432530/13122/28250/231396/28254/26459/112417/232975/108096/394434/13849/67821/100727/11833/72094/230161/22238/12012/28253/71773/27222/18670/232156/209186/319229/20186/210044/140492/20494/19879/20517/98660/394433/394435/20537/104110/18671/11936",50
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","58/2071","130/11169",0.446153846153846,2.40612858893883,7.69372454827564,6.08775057204955e-12,1.146526357736e-10,6.72856642173897e-11,"12323/13110/271844/11514/224129/329502/193034/246788/11418/171382/16644/432530/72303/74519/18048/69888/12061/13118/13119/18752/277328/666168/100043108/435802/107141/100040843/78390/433247/13098/277753/13099/13095/26414/242546/230459/230639/545288/226105/15559/12062/75600/72082/11685/404195/210044/13097/15560/15465/665095/18710/232889/11419/104110/63873/15558/385643/16176/171209",58
NA,NA,"mmu04081","Hormone signaling","82/2071","220/11169",0.372727272727273,2.01013563934858,7.21952446450968,3.31664109792567e-11,5.91758595893054e-10,3.47282641278644e-10,"17480/20606/19091/66066/14917/384783/16867/230103/11514/224129/16846/19092/207911/244698/16367/18125/22095/26361/17200/13857/432530/12311/58807/14599/14681/12921/16416/13492/12425/12922/14706/17201/53945/13490/12167/13488/14699/22045/14600/18158/13489/28078/18610/18390/15874/14309/67653/110542/15203/13856/14695/18155/11552/19111/116903/20502/18162/210044/22094/54409/18619/18386/19109/16334/84506/21832/387285/14675/11609/19116/13370/14652/18710/16847/17199/104110/13983/170732/11606/11549/11548/11607",82
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","48/2071","103/11169",0.466019417475728,2.513264545527,7.3611034691338,6.17484447857814e-11,1.04663613911899e-09,6.14234529711194e-10,"22138/16772/20191/12288/16399/20392/11514/241226/319480/224129/16773/16419/16905/17888/18125/13527/12294/54652/12297/12289/432530/140781/16404/12292/320910/110893/20391/22004/16416/24053/13346/12293/109700/18821/21956/54377/213119/104099/140723/110891/12299/210044/17868/16420/17906/104110/21808/11606",48
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","70/2071","179/11169",0.391061452513966,2.10901272966127,7.13623242247993,7.59256016332093e-11,1.17975882078131e-09,6.92359624678363e-10,"17968/20969/18189/69524/12511/20612/20971/19268/13003/15894/15002/14969/241226/269116/18191/18566/60533/19266/83964/15006/16456/64945/12560/320910/245446/66797/21367/53321/12558/14663/14963/12526/12805/12738/16415/192167/74987/56492/320840/14997/242122/104099/21939/12525/54420/386750/67374/241568/100043314/12562/94332/14990/54725/12561/58187/19274/12483/60363/12737/381091/57255/17528/12741/12519/171171/207683/20339/80883/12740/17123",70
NA,NA,"mmu04517","IgSF CAM signaling","102/2071","300/11169",0.34,1.83363592467407,6.98308037285889,7.65625193427396e-11,1.17975882078131e-09,6.92359624678363e-10,"17968/22068/16818/69524/12506/19268/15894/27218/242894/56458/16490/22253/17880/269116/109676/140721/20273/13176/268932/268902/107448/16536/18213/327814/18208/116837/19266/235379/83964/20562/243499/18481/16456/210801/74053/54631/14924/170780/16485/245446/66797/239857/21367/53321/12558/93742/18752/16416/238564/77579/54698/12805/72058/20743/20563/69165/170786/16415/192167/67703/110862/20564/14161/70192/26414/110135/76787/69142/67653/238205/170779/380928/26904/71960/386750/67374/241568/100043314/11735/12927/94332/18186/54725/228785/243547/238463/60367/18710/22152/19283/214230/170484/18858/20400/17528/13384/18187/12519/18845/71566/19876/107449",102
