"gene","log2FoldChange","pvalue","padj","significance","direction"
"Glp1r",-1.3183,0.000286,0.0006923,"Downregulated","Down in Tet2"
"Atf6",0.3407,0.05874,0.09195,"NS","Not Significant"
"Nqo1",0.2648,0.108,0.1574,"NS","Not Significant"
"Hspa5",0.1719,0.09441,0.1398,"NS","Not Significant"
"Crtc2",-0.0757,0.3963,0.4773,"NS","Not Significant"
"Il17ra",0.9258,2.163e-30,1.521e-28,"Significant (|LFC|<1)","Significant (small LFC)"
"Nfe2l2",0.8333,5.424e-22,2.181e-20,"Significant (|LFC|<1)","Significant (small LFC)"
"Sik3",0.7875,3.552e-16,7.608e-15,"Significant (|LFC|<1)","Significant (small LFC)"
"Xbp1",0.4239,7.114e-09,3.865e-08,"Significant (|LFC|<1)","Significant (small LFC)"
"Creb1",-0.3424,0.005556,0.01085,"Significant (|LFC|<1)","Significant (small LFC)"
"Eif2s1",0.3246,0.0003552,0.0008491,"Significant (|LFC|<1)","Significant (small LFC)"
"Gclc",0.1904,0.002988,0.006157,"Significant (|LFC|<1)","Significant (small LFC)"
"Adcy1",8.7884,1.072e-12,1.248e-11,"Upregulated","Up in Tet2"
"Il6",2.5023,3.817e-06,1.235e-05,"Upregulated","Up in Tet2"
"Adcy2",2.3649,8.26e-06,2.526e-05,"Upregulated","Up in Tet2"
"Sik2",1.2813,3.43e-08,1.628e-07,"Upregulated","Up in Tet2"
"Atf4",1.1075,1.034e-30,7.445e-29,"Upregulated","Up in Tet2"
"Camp",1.0957,0.003391,0.006901,"Upregulated","Up in Tet2"
